battery_id,global_id,dataset_id,local_id,policy,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,prediction_test,C1_missing,baseline_capacity_cycles_1_5,baseline_soh_cycles_1_5,flag_initial_soh_baseline_outlier,initial_soh_baseline_robust_z
1,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,13.4086513554808,0.0168063184861228,31.9552510590903,0,0,1.0719005,1.00113132737306,0,3.82292955156891
2,2,1,2,3_6C-80PER_3_6C,3.6,80,3.6,1.0845895,13.3700453282399,0.0171016934490662,31.5492130949076,1,0,1.0766124,0.992645051422681,0,-5.35247450726539
3,3,1,3,3_6C-80PER_3_6C,3.6,80,3.6,1.0880535,13.3673534835601,0.016982372835034,31.7545236474274,0,0,1.0813154,0.993807197899736,0,-4.09595591596843
4,54,2,8,80PER_3_6C,NaN,80,3.6,1.024101,13.7314586052367,0.0174045610362538,32.1000492411474,0,1,1.0233371,0.999254077478686,0,1.79323756405869
5,55,2,9,80PER_3_6C,NaN,80,3.6,1.0322267,13.6804953856609,0.0173730390550459,32.1549737009787,1,1,1.0273392,0.995265090507734,0,-2.51967512672816
6,56,2,10,80PER_3_6C,NaN,80,3.6,1.0364138,14.828321327044,0.0174475447896226,32.2245966251458,0,1,1.0326625,0.996380499757915,0,-1.31368905919824
7,71,2,25,4_8C_80PER_4_8C,4.8,80,4.8,1.0734261,12.9231478085242,0.0178100875916031,30.0982203551668,0,0,1.0691004,0.995970193010958,0,-1.75731476892193
8,72,2,26,4_8C_80PER_4_8C,4.8,80,4.8,1.0721645,13.2409229226557,0.0178863115523614,29.5184064262147,0,0,1.0688325,0.996892267930901,0,-0.760362747509968
9,73,2,27,4_8C_80PER_4_8C,4.8,80,4.8,1.0825263,13.1452157864793,0.0182922469518072,32.2842284021125,1,0,1.0789365,0.996683868096322,0,-0.985685692371767
10,95,3,1,5C_67PER_4C_NEWSTRUCTURE,5,67,4,1.0713712,10.1554366633597,0.0153010837331349,33.1015310495823,1,0,1.0682849,0.997119299081402,0,-0.514895530562348
11,96,3,2,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4,1.0687399,10.1429989124294,0.0152176626817326,36.1809017963529,1,0,1.0661838,0.997608304883162,0,0.0138199913579689
