BatteryId,Policy,NObs,RMSE,MAE,Bias,MaxAbsError
1,3_6C-80PER_3_6C,200,0.007334236010617037,0.0071874961723186435,-0.007165399220676827,0.00855042323845323
2,3_6C-80PER_3_6C,150,0.004391290402516984,0.004331335305296987,0.004330673514197965,0.007317154206323506
3,3_6C-80PER_3_6C,200,0.0030070250880095298,0.002823449578822216,0.0027988674993949447,0.0059227429742184645
4,80PER_3_6C,200,0.014556286498846853,0.012319008336533306,0.012138473609187364,0.026620504131831813
5,80PER_3_6C,150,0.005376924203151396,0.004659615433084667,-0.004383846616711182,0.009791428845455696
6,80PER_3_6C,200,0.007219867540647475,0.00614211233504457,-0.006026418517412633,0.013327071821975234
7,4_8C_80PER_4_8C,200,0.004125028484143786,0.0031116716746294503,-0.002878128236608595,0.008758064377826003
8,4_8C_80PER_4_8C,200,0.0019190954784902294,0.0014589436220286884,0.0011910200077156713,0.0046377840347162635
9,4_8C_80PER_4_8C,150,0.0016695381120137495,0.0013815872161146274,0.0010378381435452266,0.005413104266300595
10,5C_67PER_4C_NEWSTRUCTURE,150,0.0004395581767655024,0.0003259897952727675,0.00028716256706593353,0.002594296814417252
11,5_3C_54PER_4C_NEWSTRUCTURE,150,0.0004862716284509108,0.00041823137084469347,0.00019712866122532683,0.002070177095472303
12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0003374769105065882,0.000263270326709667,0.00010305185686059315,0.0013127516240613035
13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0002958930694864441,0.0002422594143351542,-8.867626827041008e-05,0.001181802922219699
14,5_6C_19PER_4_6C_NEWSTRUCTURE,150,0.0007084316124968252,0.000555004439044137,-0.000499669481139294,0.0016197550605031585
15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0006707973160958023,0.0005338428249238853,0.0004117865074371835,0.0018975228192084082
16,3_7C_31PER_5_9C_NEWSTRUCTURE,150,0.002121254427870242,0.0019928375826043874,0.001989349306444712,0.003095314398325111
17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.009380830371931704,0.009358707559645005,-0.009358707559645005,0.010616559609332277
18,5C_67PER_4C_NEWSTRUCTURE,200,0.0004315707774945885,0.0003084797664785244,0.00020690461264683658,0.002836679672317488
19,5_3C_54PER_4C_NEWSTRUCTURE,200,0.001215721605768989,0.0010456020850567855,-0.0009894838407548707,0.0025508456936024215
20,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.008910750002133414,0.008901461593846109,-0.008901461593846109,0.009556429520770848
21,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0006213369478047417,0.00048795788892228297,0.00037751415279425107,0.0017509532960651164
22,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.00099166281174222,0.0008017032116295491,-0.0007698790792260807,0.0021587926401162028
23,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.000657016739519393,0.0004643561644248062,0.0003580872817217662,0.0035143748506651917
24,5_6C_36PER_4_3C_NEWSTRUCTURE,150,0.0007238095058855923,0.0005366081598607912,-0.0003315706637596705,0.004003467411281991
25,4_8C_80PER_4_8C_NEWSTRUCTURE,150,0.008760874238509712,0.008750470559032605,-0.008750470559032605,0.009696839605585428
26,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0014966025494180266,0.0012632692857874872,0.0011411532511411981,0.00947849151508584
27,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0007820527519163291,0.0007328166225243304,0.0006067056961921147,0.0018475364993469912
28,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0011133277809124082,0.001036828628624394,0.0008438032961942027,0.0017526732573317494
29,5C_67PER_4C_NEWSTRUCTURE,200,0.000321840473752769,0.00023574762027328832,9.795505687320294e-05,0.0020712461271695792
30,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.005662278295973323,0.004729319261534049,-0.004684718405488469,0.010782341794549066
31,5C_67PER_4C_NEWSTRUCTURE,200,0.0005132339239800754,0.0003256813268100145,-0.00012735669311840004,0.0039006504022128796
32,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0006779909021423069,0.0005944694322493776,-0.0004841647632454743,0.0030391999134226078
33,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0008762076381132974,0.0007483081007808385,-0.0006497884921133929,0.0029212983511819335
34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0004389957558655658,0.00030355196451857194,8.922098487155694e-05,0.0031075691471037503
35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.0033638731200536657,0.0024978434655249216,0.0023481457617372335,0.007130103046713021
36,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0004411673668226238,0.0003697546168120436,-0.00032260983554467605,0.0024102015743676652
37,5C_67PER_4C_NEWSTRUCTURE,200,0.0006232600979674549,0.0005603316411269471,0.0004088346183082242,0.0012604835035261441
38,5_3C_54PER_4C_NEWSTRUCTURE,200,0.001142172576060546,0.0010078734537323853,0.0007895733753794531,0.001895683858365249
39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.00028070773394305514,0.00021945198285055535,-5.232257980790689e-05,0.0008936177001150902
40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0013106349049372243,0.0011487736854902636,0.0010565630202581738,0.0022288836013196756
41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.045718830246736966,0.04570074222129335,0.04570074222129335,0.052672078595736305
42,5C_67PER_4C_NEWSTRUCTURE,200,0.00042555022891913475,0.0003371468831954888,-0.00020650942952832373,0.0012006250397046392
43,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0006092139841949797,0.0004946224966807972,0.0003629265605568116,0.002806193093458309
44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0004590447514384839,0.00025968302446393866,1.3401384780721836e-05,0.003798276543074186
45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0012583705036036648,0.0010730319903413975,-0.0009520662622100439,0.0036894556825423086
46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.009486105437226002,0.00947955056285635,-0.00947955056285635,0.010102431273261603
47,5C_67PER_4C_NEWSTRUCTURE,200,0.0008274964251608788,0.0007105988262979702,-0.000662865910469902,0.0019056606677202437
48,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0010478824257120056,0.0009090750464375313,-0.0008264897293441092,0.0028676151732165422
49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.009331830038209558,0.009320646718009723,-0.009320646718009723,0.010064831059106938
