ConfigId,LambdaRandom,LambdaCurve,MeanBatteryRMSE,MeanBatteryMAE,WorstPolicyRMSE
1,0.03,0.001,0.0035687493944137802,0.0033207093681298255,0.015463332145847173
2,0.03,0.01,0.0035886156319701133,0.0033357286651046736,0.015475741576240798
3,0.03,0.1,0.0036086044666410596,0.0033498532871317696,0.015486695765536442
4,0.03,1.0,0.003633983180137722,0.003366449156542399,0.01549324238333237
5,0.3,0.001,0.0035714804389740764,0.0033221366139685143,0.015459761057761985
6,0.3,0.01,0.0035912967736669594,0.0033371274480588965,0.015472146690295202
7,0.3,0.1,0.0036111824707383993,0.0033512101837672227,0.015483036514526176
8,0.3,1.0,0.0036363609546149816,0.0033677074618935457,0.015489616696469899
9,3.0,0.001,0.0035916933350033076,0.0033327839539821656,0.015438874014921729
10,3.0,0.01,0.0036111761179393447,0.0033475579319584173,0.015451025511637262
11,3.0,0.1,0.003630376393660182,0.003361384937944249,0.015461433338635778
12,3.0,1.0,0.0036542315469589495,0.0033772851806489,0.015468137032686777
