SensitivityVariant,Policy,SOH200,Rank
primary_soh_clean,5C_67PER_4C_NEWSTRUCTURE,0.9953364544404122,1
primary_soh_clean,5_3C_54PER_4C_NEWSTRUCTURE,0.9952046563413605,2
primary_soh_clean,3_6C-80PER_3_6C,0.9950704637359369,3
primary_soh_clean,5_6C_36PER_4_3C_NEWSTRUCTURE,0.9947339273780925,4
primary_soh_clean,5_6C_19PER_4_6C_NEWSTRUCTURE,0.9941175067432377,5
primary_soh_clean,4_8C_80PER_4_8C_NEWSTRUCTURE,0.9884224040987495,6
primary_soh_clean,80PER_3_6C,0.9838024225353199,7
primary_soh_clean,4_8C_80PER_4_8C,0.9835657784954703,8
primary_soh_clean,3_7C_31PER_5_9C_NEWSTRUCTURE,0.9635806383089262,9
relative_soh,3_6C-80PER_3_6C,0.9992103514728621,1
relative_soh,4_8C_80PER_4_8C_NEWSTRUCTURE,0.9981679657449464,2
relative_soh,5_3C_54PER_4C_NEWSTRUCTURE,0.9978911228222308,3
relative_soh,5C_67PER_4C_NEWSTRUCTURE,0.9978648629231051,4
relative_soh,5_6C_36PER_4_3C_NEWSTRUCTURE,0.9970999226471998,5
relative_soh,5_6C_19PER_4_6C_NEWSTRUCTURE,0.9964436845908987,6
relative_soh,4_8C_80PER_4_8C,0.9870067820453206,7
relative_soh,80PER_3_6C,0.9868166227300077,8
relative_soh,3_7C_31PER_5_9C_NEWSTRUCTURE,0.9639403258750313,9
exclude_battery_41,4_8C_80PER_4_8C_NEWSTRUCTURE,0.9961567353706844,1
exclude_battery_41,5C_67PER_4C_NEWSTRUCTURE,0.9953364544404122,2
exclude_battery_41,5_3C_54PER_4C_NEWSTRUCTURE,0.9952046563413605,3
exclude_battery_41,3_6C-80PER_3_6C,0.9950704637359369,4
exclude_battery_41,5_6C_36PER_4_3C_NEWSTRUCTURE,0.9947339273780925,5
exclude_battery_41,5_6C_19PER_4_6C_NEWSTRUCTURE,0.9941175067432377,6
exclude_battery_41,80PER_3_6C,0.9838024225353199,7
exclude_battery_41,4_8C_80PER_4_8C,0.9835657784954703,8
exclude_battery_41,3_7C_31PER_5_9C_NEWSTRUCTURE,0.9635806383089262,9
