BatteryId,Policy,FiniteFamilyCount,ModelFamilyT80Min,ModelFamilyT80Max,ModelFamilyT80Ratio
1,3_6C-80PER_3_6C,3,1956.9528349003351,4153.609409904077,2.1224882561442087
2,3_6C-80PER_3_6C,3,2377.0964263633864,8537.553011073102,3.59158884611775
3,3_6C-80PER_3_6C,3,2471.2950224203723,10721.595322509576,4.338452198236092
4,80PER_3_6C,3,801.716240396068,1081.550265756956,1.3490437280185854
5,80PER_3_6C,3,1906.4774538872516,4672.6919870892625,2.4509558072988384
6,80PER_3_6C,3,2053.867354280177,5992.924050544601,2.9178729765851665
7,4_8C_80PER_4_8C,3,1592.0287978499284,2986.844422389588,1.8761246193683119
8,4_8C_80PER_4_8C,3,1085.3099896268586,1577.1874352634584,1.453213782548627
9,4_8C_80PER_4_8C,3,1075.8044014292348,1595.102382952142,1.4827066898341428
10,5C_67PER_4C_NEWSTRUCTURE,3,2381.9092958479314,6570.576292900411,2.7585333767133915
11,5_3C_54PER_4C_NEWSTRUCTURE,3,2310.1682045453276,6770.897298962423,2.930910955159227
12,5_6C_19PER_4_6C_NEWSTRUCTURE,3,2196.0153568332275,5951.352492369283,2.7100687041421487
13,5_6C_36PER_4_3C_NEWSTRUCTURE,3,2251.184626191735,5917.417162504574,2.628579234975898
14,5_6C_19PER_4_6C_NEWSTRUCTURE,3,2346.4185165268773,6937.498775279307,2.956633152361948
15,5_6C_36PER_4_3C_NEWSTRUCTURE,3,1973.023949011537,4312.676825316418,2.185820819598779
16,3_7C_31PER_5_9C_NEWSTRUCTURE,3,762.2826992989162,1000.7654261087615,1.3128533902568977
17,4_8C_80PER_4_8C_NEWSTRUCTURE,3,3039.5376870292494,10356.451131313099,3.407245508258585
18,5C_67PER_4C_NEWSTRUCTURE,3,2117.2475993004086,5539.4141101107225,2.6163279684157312
19,5_3C_54PER_4C_NEWSTRUCTURE,3,2753.159377954164,10663.631515278665,3.873234365096098
20,4_8C_80PER_4_8C_NEWSTRUCTURE,3,2395.3579113468186,6982.200219712007,2.9148880785778615
21,5_6C_19PER_4_6C_NEWSTRUCTURE,3,1874.1703850803208,4278.580456686275,2.282919680487273
22,5_6C_36PER_4_3C_NEWSTRUCTURE,3,2664.512960073179,8699.675010820529,3.265015085751956
23,5_6C_19PER_4_6C_NEWSTRUCTURE,3,1892.7417227007836,4558.4825225534605,2.4084017739350556
24,5_6C_36PER_4_3C_NEWSTRUCTURE,3,2275.819777233708,6070.992050300542,2.667606684427324
25,4_8C_80PER_4_8C_NEWSTRUCTURE,3,2509.683778886974,7391.565475466603,2.945217854794721
26,5_3C_54PER_4C_NEWSTRUCTURE,3,2085.2555797964123,5961.4226583593,2.8588450816860185
27,5_6C_19PER_4_6C_NEWSTRUCTURE,3,2123.118587515747,6016.051525472321,2.833591849672269
28,5_6C_36PER_4_3C_NEWSTRUCTURE,3,2030.6231319683973,5391.091500758567,2.6548951481374483
29,5C_67PER_4C_NEWSTRUCTURE,3,2203.732230864568,6266.912988305452,2.8437724422838873
30,3_7C_31PER_5_9C_NEWSTRUCTURE,3,918.122569142608,1351.4832810114071,1.4720074709344033
31,5C_67PER_4C_NEWSTRUCTURE,3,2143.2006360245446,6433.99321775483,3.0020489494111673
32,5_3C_54PER_4C_NEWSTRUCTURE,3,2155.353812646861,6357.0455816432395,2.9494208998737577
33,5_6C_19PER_4_6C_NEWSTRUCTURE,3,2164.441168885505,6359.133829140637,2.9380026219031063
34,5_6C_36PER_4_3C_NEWSTRUCTURE,3,1935.2942716560283,4422.404466622696,2.2851328252206584
35,3_7C_31PER_5_9C_NEWSTRUCTURE,3,701.3474414332368,914.4705431575213,1.3038766367904007
36,5_3C_54PER_4C_NEWSTRUCTURE,3,2247.0769519944583,5878.466397957938,2.6160503282899747
37,5C_67PER_4C_NEWSTRUCTURE,3,2074.1956348496865,5875.082716516778,2.8324631571903467
38,5_3C_54PER_4C_NEWSTRUCTURE,3,1952.8646768695655,4868.836386771505,2.493176534165302
39,5_6C_19PER_4_6C_NEWSTRUCTURE,3,2091.2938711890297,5278.2812032069405,2.523930890786722
40,5_6C_36PER_4_3C_NEWSTRUCTURE,3,1906.4997979810844,4931.583407578173,2.586721180249033
41,4_8C_80PER_4_8C_NEWSTRUCTURE,3,1833.7993040095246,4362.137165664621,2.37874294974755
42,5C_67PER_4C_NEWSTRUCTURE,3,2410.2927720668013,8293.375090241521,3.4408164793731832
43,5_3C_54PER_4C_NEWSTRUCTURE,3,2032.1893089454702,5624.90763368667,2.7679053368337563
44,5_6C_19PER_4_6C_NEWSTRUCTURE,3,1985.353628690352,5129.503375032457,2.5836724001739473
45,5_6C_36PER_4_3C_NEWSTRUCTURE,3,2429.5160742822486,7579.530231229612,3.1197695341319487
46,4_8C_80PER_4_8C_NEWSTRUCTURE,3,2534.9779137851883,7332.741588482192,2.8926254341731363
47,5C_67PER_4C_NEWSTRUCTURE,3,2538.8076508815716,9674.024278626654,3.8104597153185122
48,5_3C_54PER_4C_NEWSTRUCTURE,3,2620.5856583991044,8872.33830493918,3.385631863054315
49,4_8C_80PER_4_8C_NEWSTRUCTURE,3,2789.8713067143503,8758.490009375333,3.1393885403589685
