Family,Policy,NBattery,NFiniteT80,MedianEstimatedT80,MinEstimatedT80,MaxEstimatedT80,RankWithinFamily
exponential,3_6C-80PER_3_6C,3,3,2377.0964263633864,1956.9528349003351,2471.2950224203723,2
exponential,3_7C_31PER_5_9C_NEWSTRUCTURE,3,3,762.2826992989162,701.3474414332368,918.122569142608,9
exponential,4_8C_80PER_4_8C,3,3,1085.3099896268586,1075.8044014292348,1592.0287978499284,8
exponential,4_8C_80PER_4_8C_NEWSTRUCTURE,6,6,2522.330846336081,1833.7993040095246,3039.5376870292494,1
exponential,5C_67PER_4C_NEWSTRUCTURE,7,7,2203.732230864568,2074.1956348496865,2538.8076508815716,3
exponential,5_3C_54PER_4C_NEWSTRUCTURE,8,8,2201.21538232066,1952.8646768695655,2753.159377954164,4
exponential,5_6C_19PER_4_6C_NEWSTRUCTURE,8,8,2107.2062293523886,1874.1703850803208,2346.4185165268773,6
exponential,5_6C_36PER_4_3C_NEWSTRUCTURE,8,8,2140.903879080066,1906.4997979810844,2664.512960073179,5
exponential,80PER_3_6C,3,3,1906.4774538872516,801.716240396068,2053.867354280177,7
linear,3_6C-80PER_3_6C,3,3,8537.553011073102,4153.609409904077,10721.595322509576,1
linear,3_7C_31PER_5_9C_NEWSTRUCTURE,3,3,1000.7654261087615,914.4705431575213,1351.4832810114071,9
linear,4_8C_80PER_4_8C,3,3,1595.102382952142,1577.1874352634584,2986.844422389588,8
linear,4_8C_80PER_4_8C_NEWSTRUCTURE,6,6,7362.153531974398,4362.137165664621,10356.451131313099,2
linear,5C_67PER_4C_NEWSTRUCTURE,7,7,6433.99321775483,5539.4141101107225,9674.024278626654,3
linear,5_3C_54PER_4C_NEWSTRUCTURE,8,8,6159.23412000127,4868.836386771505,10663.631515278665,4
linear,5_6C_19PER_4_6C_NEWSTRUCTURE,8,8,5614.816847788112,4278.580456686275,6937.498775279307,6
linear,5_6C_36PER_4_3C_NEWSTRUCTURE,8,8,5654.2543316315705,4312.676825316418,8699.675010820529,5
linear,80PER_3_6C,3,3,4672.6919870892625,1081.550265756956,5992.924050544601,7
power,3_6C-80PER_3_6C,3,3,4392.674305209715,2997.3581230702516,4774.1478593420115,2
power,3_7C_31PER_5_9C_NEWSTRUCTURE,3,3,780.0126622864636,708.9491559647413,975.0352690753966,9
power,4_8C_80PER_4_8C,3,3,1207.195469332358,1193.4161383121798,2106.8623887630515,8
power,4_8C_80PER_4_8C_NEWSTRUCTURE,6,6,4985.338060220903,2671.6617926053977,7750.741785460713,1
power,5C_67PER_4C_NEWSTRUCTURE,7,7,3763.326511836735,3345.277424664734,5063.474616213515,3
power,5_3C_54PER_4C_NEWSTRUCTURE,8,8,3755.542109271373,2989.5088334587094,6086.138307740957,4
power,5_6C_19PER_4_6C_NEWSTRUCTURE,8,8,3447.8884390687385,2775.653669542638,4274.139919538911,6
power,5_6C_36PER_4_3C_NEWSTRUCTURE,8,8,3569.4813935484503,2862.6411281115306,5638.628835627478,5
power,80PER_3_6C,3,3,2861.2125443956406,827.4265678347491,3283.1204470355583,7
