PolicyA,PolicyB,MeanDifferenceT80_AminusB,MedianDifferenceT80_AminusB,ExactPermutationP,HolmAdjustedP,SignificantAfterHolm
3_6C-80PER_3_6C,80PER_3_6C,3888.5304800319786,3864.861023983839,0.3,1.0,False
3_6C-80PER_3_6C,4_8C_80PER_4_8C,5751.207834293856,6942.45062812096,0.1,1.0,False
3_6C-80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,853.7699105256279,2103.5597933182717,0.5583333333333333,1.0,False
3_6C-80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,929.5593589623868,2378.318891071832,0.5393939393939394,1.0,False
3_6C-80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,2240.642058694667,2922.7361632849897,0.08484848484848485,1.0,False
3_6C-80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,1888.5812492708628,2883.298679441531,0.24242424242424243,1.0,False
3_6C-80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,6715.346164403022,7536.78758496434,0.1,1.0,False
3_6C-80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,273.65498282661065,1175.3994790987035,0.8809523809523809,1.0,False
80PER_3_6C,4_8C_80PER_4_8C,1862.677354261877,3077.5896041371207,0.4,1.0,False
80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,-3034.7605695063507,-1761.3012306655673,0.03333333333333333,0.8333333333333334,False
80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,-2958.971121069592,-1486.5421329120072,0.07272727272727272,1.0,False
80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,-1647.8884213373117,-942.1248606988493,0.1393939393939394,1.0,False
80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,-1999.9492307611158,-981.562344542308,0.17575757575757575,1.0,False
80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,2826.815684371043,3671.926560980501,0.2,1.0,False
80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,-3614.875497205368,-2689.4615448851355,0.05952380952380952,1.0,False
4_8C_80PER_4_8C,5C_67PER_4C_NEWSTRUCTURE,-4897.437923768228,-4838.890834802688,0.008333333333333333,0.25,False
4_8C_80PER_4_8C,5_3C_54PER_4C_NEWSTRUCTURE,-4821.648475331469,-4564.131737049128,0.006060606060606061,0.21818181818181817,False
4_8C_80PER_4_8C,5_6C_19PER_4_6C_NEWSTRUCTURE,-3510.565775599189,-4019.71446483597,0.006060606060606061,0.21818181818181817,False
4_8C_80PER_4_8C,5_6C_36PER_4_3C_NEWSTRUCTURE,-3862.626585022993,-4059.1519486794286,0.006060606060606061,0.21818181818181817,False
4_8C_80PER_4_8C,3_7C_31PER_5_9C_NEWSTRUCTURE,964.1383301091662,594.3369568433806,0.1,1.0,False
4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,-5477.552851467245,-5767.051149022256,0.011904761904761904,0.3333333333333333,False
5C_67PER_4C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,75.7894484367589,274.7590977535601,0.931934731934732,1.0,False
5C_67PER_4C_NEWSTRUCTURE,5_6C_19PER_4_6C_NEWSTRUCTURE,1386.872148169039,819.1763699667181,0.03853923853923854,0.9249417249417249,False
5C_67PER_4C_NEWSTRUCTURE,5_6C_36PER_4_3C_NEWSTRUCTURE,1034.811338745235,779.7388861232594,0.20916860916860916,1.0,False
5C_67PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,5861.576253877394,5433.227791646068,0.008333333333333333,0.25,False
5C_67PER_4C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,-580.1149276990172,-928.1603142195681,0.5576923076923077,1.0,False
5_3C_54PER_4C_NEWSTRUCTURE,5_6C_19PER_4_6C_NEWSTRUCTURE,1311.0826997322802,544.417272213158,0.10147630147630148,1.0,False
5_3C_54PER_4C_NEWSTRUCTURE,5_6C_36PER_4_3C_NEWSTRUCTURE,959.021890308476,504.97978836969924,0.29355089355089353,1.0,False
5_3C_54PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,5785.786805440635,5158.468693892508,0.006060606060606061,0.21818181818181817,False
5_3C_54PER_4C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,-655.9043761357761,-1202.9194119731283,0.5387945387945388,1.0,False
5_6C_19PER_4_6C_NEWSTRUCTURE,5_6C_36PER_4_3C_NEWSTRUCTURE,-352.06080942380413,-39.43748384345872,0.5931623931623932,1.0,False
5_6C_19PER_4_6C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,4474.704105708355,4614.05142167935,0.006060606060606061,0.21818181818181817,False
5_6C_19PER_4_6C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,-1966.9870758680563,-1747.3366841862862,0.026307026307026308,0.683982683982684,False
5_6C_36PER_4_3C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,4826.764915132159,4653.488905522809,0.006060606060606061,0.21818181818181817,False
5_6C_36PER_4_3C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,-1614.9262664442522,-1707.8992003428275,0.11488511488511488,1.0,False
3_7C_31PER_5_9C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,-6441.6911815764115,-6361.388105865636,0.011904761904761904,0.3333333333333333,False
