Model,Policy,Cycle,SOHPred
polynomial_mixed,3_6C-80PER_3_6C,1,0.9999508876005535
polynomial_mixed,3_6C-80PER_3_6C,2,0.9999934857353566
polynomial_mixed,3_6C-80PER_3_6C,3,1.0000354775965825
polynomial_mixed,3_6C-80PER_3_6C,4,1.0000768631842314
polynomial_mixed,3_6C-80PER_3_6C,5,1.000117642498303
polynomial_mixed,3_6C-80PER_3_6C,6,1.0001578155387976
polynomial_mixed,3_6C-80PER_3_6C,7,1.000197382305715
polynomial_mixed,3_6C-80PER_3_6C,8,1.0002363427990553
polynomial_mixed,3_6C-80PER_3_6C,9,1.0002746970188185
polynomial_mixed,3_6C-80PER_3_6C,10,1.0003124449650047
polynomial_mixed,3_6C-80PER_3_6C,11,1.0003495866376135
polynomial_mixed,3_6C-80PER_3_6C,12,1.0003861220366455
polynomial_mixed,3_6C-80PER_3_6C,13,1.0004220511621003
polynomial_mixed,3_6C-80PER_3_6C,14,1.0004573740139777
polynomial_mixed,3_6C-80PER_3_6C,15,1.0004920905922783
polynomial_mixed,3_6C-80PER_3_6C,16,1.000526200897002
polynomial_mixed,3_6C-80PER_3_6C,17,1.000559704928148
polynomial_mixed,3_6C-80PER_3_6C,18,1.0005926026857173
polynomial_mixed,3_6C-80PER_3_6C,19,1.0006248941697091
polynomial_mixed,3_6C-80PER_3_6C,20,1.000656579380124
polynomial_mixed,3_6C-80PER_3_6C,21,1.000687658316962
polynomial_mixed,3_6C-80PER_3_6C,22,1.0007181309802224
polynomial_mixed,3_6C-80PER_3_6C,23,1.000747997369906
polynomial_mixed,3_6C-80PER_3_6C,24,1.0007772574860125
polynomial_mixed,3_6C-80PER_3_6C,25,1.0008059113285417
polynomial_mixed,3_6C-80PER_3_6C,26,1.000833958897494
polynomial_mixed,3_6C-80PER_3_6C,27,1.0008614001928693
polynomial_mixed,3_6C-80PER_3_6C,28,1.000888235214667
polynomial_mixed,3_6C-80PER_3_6C,29,1.000914463962888
polynomial_mixed,3_6C-80PER_3_6C,30,1.0009400864375317
polynomial_mixed,3_6C-80PER_3_6C,31,1.0009651026385982
polynomial_mixed,3_6C-80PER_3_6C,32,1.0009895125660877
polynomial_mixed,3_6C-80PER_3_6C,33,1.0010133162200001
polynomial_mixed,3_6C-80PER_3_6C,34,1.0010365136003352
polynomial_mixed,3_6C-80PER_3_6C,35,1.0010591047070936
polynomial_mixed,3_6C-80PER_3_6C,36,1.0010810895402746
polynomial_mixed,3_6C-80PER_3_6C,37,1.0011024680998784
polynomial_mixed,3_6C-80PER_3_6C,38,1.0011232403859052
polynomial_mixed,3_6C-80PER_3_6C,39,1.0011434063983549
polynomial_mixed,3_6C-80PER_3_6C,40,1.0011629661372272
polynomial_mixed,3_6C-80PER_3_6C,41,1.001181919602523
polynomial_mixed,3_6C-80PER_3_6C,42,1.0012002667942412
polynomial_mixed,3_6C-80PER_3_6C,43,1.0012180077123822
polynomial_mixed,3_6C-80PER_3_6C,44,1.0012351423569463
polynomial_mixed,3_6C-80PER_3_6C,45,1.0012516707279333
polynomial_mixed,3_6C-80PER_3_6C,46,1.001267592825343
polynomial_mixed,3_6C-80PER_3_6C,47,1.001282908649176
polynomial_mixed,3_6C-80PER_3_6C,48,1.0012976181994315
polynomial_mixed,3_6C-80PER_3_6C,49,1.0013117214761098
polynomial_mixed,3_6C-80PER_3_6C,50,1.0013252184792112
polynomial_mixed,3_6C-80PER_3_6C,51,1.0013381092087352
polynomial_mixed,3_6C-80PER_3_6C,52,1.0013503936646826
polynomial_mixed,3_6C-80PER_3_6C,53,1.0013620718470526
polynomial_mixed,3_6C-80PER_3_6C,54,1.0013731437558453
polynomial_mixed,3_6C-80PER_3_6C,55,1.001383609391061
polynomial_mixed,3_6C-80PER_3_6C,56,1.0013934687527
polynomial_mixed,3_6C-80PER_3_6C,57,1.0014027218407613
polynomial_mixed,3_6C-80PER_3_6C,58,1.0014113686552457
polynomial_mixed,3_6C-80PER_3_6C,59,1.001419409196153
polynomial_mixed,3_6C-80PER_3_6C,60,1.0014268434634832
polynomial_mixed,3_6C-80PER_3_6C,61,1.0014336714572363
polynomial_mixed,3_6C-80PER_3_6C,62,1.0014398931774122
polynomial_mixed,3_6C-80PER_3_6C,63,1.0014455086240108
polynomial_mixed,3_6C-80PER_3_6C,64,1.0014505177970328
polynomial_mixed,3_6C-80PER_3_6C,65,1.0014549206964773
polynomial_mixed,3_6C-80PER_3_6C,66,1.0014587173223446
polynomial_mixed,3_6C-80PER_3_6C,67,1.001461907674635
polynomial_mixed,3_6C-80PER_3_6C,68,1.0014644917533484
polynomial_mixed,3_6C-80PER_3_6C,69,1.0014664695584843
polynomial_mixed,3_6C-80PER_3_6C,70,1.0014678410900433
polynomial_mixed,3_6C-80PER_3_6C,71,1.0014686063480254
polynomial_mixed,3_6C-80PER_3_6C,72,1.00146876533243
polynomial_mixed,3_6C-80PER_3_6C,73,1.0014683180432575
polynomial_mixed,3_6C-80PER_3_6C,74,1.001467264480508
polynomial_mixed,3_6C-80PER_3_6C,75,1.0014656046441814
polynomial_mixed,3_6C-80PER_3_6C,76,1.0014633385342777
polynomial_mixed,3_6C-80PER_3_6C,77,1.0014604661507969
polynomial_mixed,3_6C-80PER_3_6C,78,1.001456987493739
polynomial_mixed,3_6C-80PER_3_6C,79,1.0014529025631038
polynomial_mixed,3_6C-80PER_3_6C,80,1.0014482113588916
polynomial_mixed,3_6C-80PER_3_6C,81,1.0014429138811023
polynomial_mixed,3_6C-80PER_3_6C,82,1.0014370101297358
polynomial_mixed,3_6C-80PER_3_6C,83,1.001430500104792
polynomial_mixed,3_6C-80PER_3_6C,84,1.0014233838062716
polynomial_mixed,3_6C-80PER_3_6C,85,1.0014156612341738
polynomial_mixed,3_6C-80PER_3_6C,86,1.0014073323884987
polynomial_mixed,3_6C-80PER_3_6C,87,1.0013983972692468
polynomial_mixed,3_6C-80PER_3_6C,88,1.0013888558764177
polynomial_mixed,3_6C-80PER_3_6C,89,1.0013787082100114
polynomial_mixed,3_6C-80PER_3_6C,90,1.001367954270028
polynomial_mixed,3_6C-80PER_3_6C,91,1.0013565940564675
polynomial_mixed,3_6C-80PER_3_6C,92,1.0013446275693298
polynomial_mixed,3_6C-80PER_3_6C,93,1.001332054808615
polynomial_mixed,3_6C-80PER_3_6C,94,1.0013188757743234
polynomial_mixed,3_6C-80PER_3_6C,95,1.0013050904664542
polynomial_mixed,3_6C-80PER_3_6C,96,1.001290698885008
polynomial_mixed,3_6C-80PER_3_6C,97,1.001275701029985
polynomial_mixed,3_6C-80PER_3_6C,98,1.0012600969013845
polynomial_mixed,3_6C-80PER_3_6C,99,1.0012438864992073
polynomial_mixed,3_6C-80PER_3_6C,100,1.0012270698234527
polynomial_mixed,3_6C-80PER_3_6C,101,1.0012096468741207
polynomial_mixed,3_6C-80PER_3_6C,102,1.0011916176512121
polynomial_mixed,3_6C-80PER_3_6C,103,1.0011729821547262
polynomial_mixed,3_6C-80PER_3_6C,104,1.001153740384663
polynomial_mixed,3_6C-80PER_3_6C,105,1.001133892341023
polynomial_mixed,3_6C-80PER_3_6C,106,1.0011134380238058
polynomial_mixed,3_6C-80PER_3_6C,107,1.0010923774330112
polynomial_mixed,3_6C-80PER_3_6C,108,1.0010707105686396
polynomial_mixed,3_6C-80PER_3_6C,109,1.0010484374306912
polynomial_mixed,3_6C-80PER_3_6C,110,1.0010255580191652
polynomial_mixed,3_6C-80PER_3_6C,111,1.0010020723340625
polynomial_mixed,3_6C-80PER_3_6C,112,1.0009779803753824
polynomial_mixed,3_6C-80PER_3_6C,113,1.0009532821431253
