Model,ConfigId,LambdaRandom,LambdaCurve,MeanBatteryRMSE,MeanBatteryMAE,WorstPolicyRMSE,ValidationNBattery,SingletonPoliciesTrainingOnly
polynomial_mixed,1,0.001,0.0,0.004333412072951766,0.003997623581210981,0.017652567779597644,40,0
polynomial_mixed,2,0.01,0.0,0.004333409100519621,0.00399761653802635,0.017652546926745616,40,0
polynomial_mixed,3,0.1,0.0,0.00433340880335889,0.0039976158337060065,0.017652544841504157,40,0
polynomial_mixed,4,1.0,0.0,0.004333408773643644,0.003997615763273964,0.017652544632980577,40,0
polynomial_mixed,5,10.0,0.0,0.004333408770672157,0.0039976157562307876,0.01765254461212821,40,0
polynomial_mixed,6,100.0,0.0,0.004333408770375026,0.003997615755526486,0.0176525446100431,40,0
polynomial_mixed,7,1000.0,0.0,0.004333408770345301,0.003997615755456046,0.017652544609834505,40,0
spline_mixed,1,0.03,0.001,0.004282586414120874,0.003966116370912563,0.017638114318977362,40,0
spline_mixed,2,0.03,0.01,0.0042979629945442445,0.003977588830662018,0.017643129477335824,40,0
spline_mixed,3,0.03,0.1,0.0043137966298690015,0.003987933430430358,0.01764700418088532,40,0
spline_mixed,4,0.03,1.0,0.004338183358500517,0.00400165298536844,0.017652060714247415,40,0
spline_mixed,5,0.3,0.001,0.0042825863348209155,0.003966116239961761,0.017638113809368635,40,0
spline_mixed,6,0.3,0.01,0.004297962916614432,0.003977588670004048,0.01764312897178453,40,0
spline_mixed,7,0.3,0.1,0.00431379655253032,0.00398793325012367,0.017647003678072613,40,0
spline_mixed,8,0.3,1.0,0.004338183281880599,0.004001652811653254,0.017652060214105512,40,0
spline_mixed,9,3.0,0.001,0.004282586326891015,0.0039661162268667186,0.017638113758408364,40,0
spline_mixed,10,3.0,0.01,0.004297962908821538,0.003977588653938278,0.017643128921229892,40,0
spline_mixed,11,3.0,0.1,0.004313796544796504,0.003987933232092998,0.017647003627791473,40,0
spline_mixed,12,3.0,1.0,0.004338183274218699,0.004001652794281779,0.017652060164091606,40,0
functional_ridge,1,0.0,0.0,0.004263456454575852,0.003955747352581492,0.01763044734389526,40,0
functional_ridge,2,0.0,1e-06,0.004263522141161,0.003955492106745967,0.01763057523676715,40,0
functional_ridge,3,0.0,1e-05,0.004265117179005217,0.003954909979416582,0.01763164626236165,40,0
functional_ridge,4,0.0,0.0001,0.004276897924408882,0.0039621441401391936,0.017635798927715506,40,0
functional_ridge,5,0.0,0.001,0.004291315529309633,0.00397288067956642,0.01764028557123611,40,0
functional_ridge,6,0.0,0.01,0.004307810784135448,0.003983981962244034,0.01764516511690889,40,0
functional_ridge,7,0.0,0.1,0.0043282071860526825,0.003994820564003526,0.017649671896969872,40,0
functional_ridge,8,0.0,1.0,0.004348356175150201,0.004006049381873526,0.0176522280956295,40,0
