battery_id,policy,prediction_test,IncludedInQ1Cycle200Inference,IncludedInQ1LifetimeInference,LifetimePrefixCycle,ExclusionReason
1,3_6C-80PER_3_6C,0,True,True,150,included_complete_to_cycle_200
2,3_6C-80PER_3_6C,1,False,True,150,reserved_for_q3_only_observed_to_cycle_150
3,3_6C-80PER_3_6C,0,True,True,150,included_complete_to_cycle_200
4,80PER_3_6C,0,True,True,150,included_complete_to_cycle_200
5,80PER_3_6C,1,False,True,150,reserved_for_q3_only_observed_to_cycle_150
6,80PER_3_6C,0,True,True,150,included_complete_to_cycle_200
7,4_8C_80PER_4_8C,0,True,True,150,included_complete_to_cycle_200
8,4_8C_80PER_4_8C,0,True,True,150,included_complete_to_cycle_200
9,4_8C_80PER_4_8C,1,False,True,150,reserved_for_q3_only_observed_to_cycle_150
10,5C_67PER_4C_NEWSTRUCTURE,1,False,True,150,reserved_for_q3_only_observed_to_cycle_150
11,5_3C_54PER_4C_NEWSTRUCTURE,1,False,True,150,reserved_for_q3_only_observed_to_cycle_150
12,5_6C_19PER_4_6C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
13,5_6C_36PER_4_3C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
14,5_6C_19PER_4_6C_NEWSTRUCTURE,1,False,True,150,reserved_for_q3_only_observed_to_cycle_150
15,5_6C_36PER_4_3C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
16,3_7C_31PER_5_9C_NEWSTRUCTURE,1,False,True,150,reserved_for_q3_only_observed_to_cycle_150
17,4_8C_80PER_4_8C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
18,5C_67PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
19,5_3C_54PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
20,4_8C_80PER_4_8C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
21,5_6C_19PER_4_6C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
22,5_6C_36PER_4_3C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
23,5_6C_19PER_4_6C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
24,5_6C_36PER_4_3C_NEWSTRUCTURE,1,False,True,150,reserved_for_q3_only_observed_to_cycle_150
25,4_8C_80PER_4_8C_NEWSTRUCTURE,1,False,True,150,reserved_for_q3_only_observed_to_cycle_150
26,5_3C_54PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
27,5_6C_19PER_4_6C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
28,5_6C_36PER_4_3C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
29,5C_67PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
30,3_7C_31PER_5_9C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
31,5C_67PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
32,5_3C_54PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
33,5_6C_19PER_4_6C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
34,5_6C_36PER_4_3C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
35,3_7C_31PER_5_9C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
36,5_3C_54PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
37,5C_67PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
38,5_3C_54PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
39,5_6C_19PER_4_6C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
40,5_6C_36PER_4_3C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
41,4_8C_80PER_4_8C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
42,5C_67PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
43,5_3C_54PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
44,5_6C_19PER_4_6C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
45,5_6C_36PER_4_3C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
46,4_8C_80PER_4_8C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
47,5C_67PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
48,5_3C_54PER_4C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
49,4_8C_80PER_4_8C_NEWSTRUCTURE,0,True,True,150,included_complete_to_cycle_200
