SensitivityVariant,Policy,SOH200,Rank
primary_soh_clean_complete_cells,3_6C-80PER_3_6C,0.9967881311091294,1
primary_soh_clean_complete_cells,5C_67PER_4C_NEWSTRUCTURE,0.9955033555395912,2
primary_soh_clean_complete_cells,5_3C_54PER_4C_NEWSTRUCTURE,0.9954464838806273,3
primary_soh_clean_complete_cells,5_6C_36PER_4_3C_NEWSTRUCTURE,0.9946921800619659,4
primary_soh_clean_complete_cells,5_6C_19PER_4_6C_NEWSTRUCTURE,0.9939276635129183,5
primary_soh_clean_complete_cells,4_8C_80PER_4_8C_NEWSTRUCTURE,0.9872681967081358,6
primary_soh_clean_complete_cells,4_8C_80PER_4_8C,0.9854371901966112,7
primary_soh_clean_complete_cells,80PER_3_6C,0.9805732175795308,8
primary_soh_clean_complete_cells,3_7C_31PER_5_9C_NEWSTRUCTURE,0.9658735778320379,9
relative_soh_complete_cells,3_6C-80PER_3_6C,0.9993242299079562,1
relative_soh_complete_cells,4_8C_80PER_4_8C_NEWSTRUCTURE,0.998446060507461,2
relative_soh_complete_cells,5_3C_54PER_4C_NEWSTRUCTURE,0.998176463545972,3
relative_soh_complete_cells,5C_67PER_4C_NEWSTRUCTURE,0.9979743892440972,4
relative_soh_complete_cells,5_6C_36PER_4_3C_NEWSTRUCTURE,0.9969351967540803,5
relative_soh_complete_cells,5_6C_19PER_4_6C_NEWSTRUCTURE,0.996291851246365,6
relative_soh_complete_cells,4_8C_80PER_4_8C,0.9889686790912295,7
relative_soh_complete_cells,80PER_3_6C,0.9827389668429706,8
relative_soh_complete_cells,3_7C_31PER_5_9C_NEWSTRUCTURE,0.9663718797579695,9
exclude_battery_41_complete_cells,3_6C-80PER_3_6C,0.9967881311091294,1
exclude_battery_41_complete_cells,4_8C_80PER_4_8C_NEWSTRUCTURE,0.996647558950401,2
exclude_battery_41_complete_cells,5C_67PER_4C_NEWSTRUCTURE,0.9955033555395912,3
exclude_battery_41_complete_cells,5_3C_54PER_4C_NEWSTRUCTURE,0.9954464838806273,4
exclude_battery_41_complete_cells,5_6C_36PER_4_3C_NEWSTRUCTURE,0.9946921800619659,5
exclude_battery_41_complete_cells,5_6C_19PER_4_6C_NEWSTRUCTURE,0.9939276635129183,6
exclude_battery_41_complete_cells,4_8C_80PER_4_8C,0.9854371901966112,7
exclude_battery_41_complete_cells,80PER_3_6C,0.9805732175795308,8
exclude_battery_41_complete_cells,3_7C_31PER_5_9C_NEWSTRUCTURE,0.9658735778320379,9
