OuterBatteryId,Family,SelectedCandidate,InnerStrategyEqualRMSE,InnerWorstBatteryRMSE,InnerNBattery
1,exponential,exponential_w60_s0.001,0.0005952911846929466,0.0013991222791015355,39
1,linear,linear_w40_s1,0.0004631551438086222,0.0010741413410089889,39
1,power,power_w60_s1.25,0.0006055146663801265,0.001315837442133357,39
3,exponential,exponential_w60_s0.001,0.0010083238983011305,0.002445211228533701,39
3,linear,linear_w40_s1,0.0008848582072418311,0.0022713225251090163,39
3,power,power_w60_s1.25,0.0010073590572838341,0.0024187372923747228,39
4,exponential,exponential_w60_s0.0025,0.0008049868300469959,0.0023962120654466273,39
4,linear,linear_w40_s1,0.0006862215356436221,0.0022713225251090163,39
4,power,power_w60_s1.25,0.0007987660895366314,0.0024187372923747228,39
6,exponential,exponential_w60_s0.001,0.000849045590162281,0.002445211228533701,39
6,linear,linear_w40_s1,0.0007256629645906713,0.0022713225251090163,39
6,power,power_w60_s1.25,0.0008622024215342758,0.0024187372923747228,39
7,exponential,exponential_w60_s0.001,0.0008153232675921272,0.002445211228533701,39
7,linear,linear_w40_s1,0.000690830226981393,0.0022713225251090163,39
7,power,power_w60_s1.25,0.0008127035113296861,0.0024187372923747228,39
8,exponential,exponential_w60_s0.001,0.0008404383664381446,0.002445211228533701,39
8,linear,linear_w40_s1,0.0007212768758586745,0.0022713225251090163,39
8,power,power_w60_s1.25,0.00084907790229496,0.0024187372923747228,39
12,exponential,exponential_w60_s0.001,0.0008274912446781586,0.002445211228533701,39
12,linear,linear_w40_s1,0.0007061378743507321,0.0022713225251090163,39
12,power,power_w60_s1.25,0.0008306322150290664,0.0024187372923747228,39
13,exponential,exponential_w60_s0.001,0.000828031338767569,0.002445211228533701,39
13,linear,linear_w40_s1,0.0007058550966982598,0.0022713225251090163,39
13,power,power_w60_s1.25,0.0008311089840025488,0.0024187372923747228,39
15,exponential,exponential_w60_s0.001,0.0008271274027816675,0.002445211228533701,39
15,linear,linear_w40_s1,0.0007060935349466292,0.0022713225251090163,39
15,power,power_w60_s1.25,0.000830470225999566,0.0024187372923747228,39
17,exponential,exponential_w60_s0.001,0.0008282304201658954,0.002445211228533701,39
17,linear,linear_w40_s1,0.0007059286483952499,0.0022713225251090163,39
17,power,power_w60_s1.25,0.0008312653056811707,0.0024187372923747228,39
18,exponential,exponential_w60_s0.001,0.0008281017841971944,0.002445211228533701,39
18,linear,linear_w40_s1,0.0007067754023007024,0.0022713225251090163,39
18,power,power_w60_s1.25,0.0008312646546437729,0.0024187372923747228,39
19,exponential,exponential_w60_s0.001,0.0008279953598588693,0.002445211228533701,39
19,linear,linear_w40_s1,0.0007062671115099914,0.0022713225251090163,39
19,power,power_w60_s1.25,0.00083114694996311,0.0024187372923747228,39
20,exponential,exponential_w60_s0.001,0.0008259132503067594,0.002445211228533701,39
20,linear,linear_w40_s1,0.0007050949967017706,0.0022713225251090163,39
20,power,power_w60_s1.25,0.000829239160035639,0.0024187372923747228,39
21,exponential,exponential_w60_s0.001,0.0008284206004672307,0.002445211228533701,39
21,linear,linear_w40_s1,0.0007066656946916235,0.0022713225251090163,39
21,power,power_w60_s1.25,0.0008314875750354511,0.0024187372923747228,39
22,exponential,exponential_w60_s0.001,0.0008278846164111012,0.002445211228533701,39
22,linear,linear_w40_s1,0.0007065280891317471,0.0022713225251090163,39
22,power,power_w60_s1.25,0.0008309860924247398,0.0024187372923747228,39
23,exponential,exponential_w60_s0.001,0.0008275503149119402,0.002445211228533701,39
23,linear,linear_w40_s1,0.0007060577104792384,0.0022713225251090163,39
23,power,power_w60_s1.25,0.0008308063662642944,0.0024187372923747228,39
26,exponential,exponential_w60_s0.001,0.0008283075982078524,0.002445211228533701,39
26,linear,linear_w40_s1,0.0007062742342885579,0.0022713225251090163,39
26,power,power_w60_s1.25,0.0008313305598793919,0.0024187372923747228,39
27,exponential,exponential_w60_s0.001,0.000827792026699106,0.002445211228533701,39
27,linear,linear_w40_s1,0.0007059309763756099,0.0022713225251090163,39
27,power,power_w60_s1.25,0.0008309280457983689,0.0024187372923747228,39
28,exponential,exponential_w60_s0.001,0.0008283710907317578,0.002445211228533701,39
28,linear,linear_w40_s1,0.0007064024552587861,0.0022713225251090163,39
28,power,power_w60_s1.25,0.000831361783993322,0.0024187372923747228,39
29,exponential,exponential_w60_s0.001,0.000827473683263888,0.002445211228533701,39
29,linear,linear_w40_s1,0.0007062566012906797,0.0022713225251090163,39
29,power,power_w60_s1.25,0.0008307111377367026,0.0024187372923747228,39
30,exponential,exponential_w60_s0.001,0.0008362855907635982,0.002445211228533701,39
30,linear,linear_w40_s1,0.000707466275542293,0.0022713225251090163,39
30,power,power_w60_s1.25,0.0008486980587188151,0.0024187372923747228,39
31,exponential,exponential_w60_s0.001,0.0008278851826927063,0.002445211228533701,39
31,linear,linear_w40_s1,0.0007057455180798515,0.0022713225251090163,39
31,power,power_w60_s1.25,0.0008310917545419389,0.0024187372923747228,39
32,exponential,exponential_w60_s0.001,0.0008282005611039677,0.002445211228533701,39
32,linear,linear_w40_s1,0.0007061073508830308,0.0022713225251090163,39
32,power,power_w60_s1.25,0.0008312340354989789,0.0024187372923747228,39
33,exponential,exponential_w60_s0.001,0.0008282371655582465,0.002445211228533701,39
33,linear,linear_w40_s1,0.000706282745013508,0.0022713225251090163,39
33,power,power_w60_s1.25,0.0008312765983709142,0.0024187372923747228,39
34,exponential,exponential_w60_s0.001,0.0008284106162316989,0.002445211228533701,39
34,linear,linear_w40_s1,0.0007059213333467991,0.0022713225251090163,39
34,power,power_w60_s1.25,0.0008314251304644957,0.0024187372923747228,39
35,exponential,exponential_w60_s0.001,0.000819582265022554,0.002445211228533701,39
35,linear,linear_w40_s1,0.0007049668099491841,0.0022713225251090163,39
35,power,power_w60_s1.25,0.0008131001701021376,0.0024187372923747228,39
36,exponential,exponential_w60_s0.001,0.0008267325323887497,0.002445211228533701,39
36,linear,linear_w40_s1,0.0007061791581398607,0.0022713225251090163,39
36,power,power_w60_s1.25,0.0008301224661472541,0.0024187372923747228,39
37,exponential,exponential_w60_s0.001,0.0008287433023095373,0.002445211228533701,39
37,linear,linear_w40_s1,0.000706801014860347,0.0022713225251090163,39
37,power,power_w60_s1.25,0.0008316705413659019,0.0024187372923747228,39
38,exponential,exponential_w60_s0.001,0.0008283286368633923,0.002445211228533701,39
38,linear,linear_w40_s1,0.0007061589942152383,0.0022713225251090163,39
38,power,power_w60_s1.25,0.0008313551253353965,0.0024187372923747228,39
39,exponential,exponential_w60_s0.001,0.0008286960093114745,0.002445211228533701,39
39,linear,linear_w40_s1,0.0007064879984546725,0.0022713225251090163,39
39,power,power_w60_s1.25,0.0008316326919233374,0.0024187372923747228,39
40,exponential,exponential_w60_s0.001,0.0008283160933602114,0.002445211228533701,39
40,linear,linear_w40_s1,0.0007062925451006948,0.0022713225251090163,39
40,power,power_w60_s1.25,0.0008314235831213959,0.0024187372923747228,39
41,exponential,exponential_w60_s0.001,0.0008301429732280501,0.002445211228533701,39
41,linear,linear_w40_s1,0.0007076038237260709,0.0022713225251090163,39
