PolicyA,PolicyB,Cycle,Difference_AminusB,PointwiseCI95Low,PointwiseCI95High,SimultaneousCI95Low,SimultaneousCI95High,SignificantSimultaneous
3_6C-80PER_3_6C,80PER_3_6C,1,-0.0007779013923907563,-0.0058436691438139565,0.004287866359032666,-0.0154835805939183,0.013927777809136788,False
3_6C-80PER_3_6C,80PER_3_6C,2,-0.0005418671278409892,-0.005440865747481594,0.004357131491799948,-0.015247546329368533,0.014163812073686555,False
3_6C-80PER_3_6C,80PER_3_6C,3,-0.0003125373062133896,-0.005050019426141805,0.004424944813715137,-0.015018216507740934,0.014393141895314154,False
3_6C-80PER_3_6C,80PER_3_6C,4,-8.977350356931257e-05,-0.004670875154247578,0.004491328147109175,-0.014795452705096857,0.014615905697958231,False
3_6C-80PER_3_6C,80PER_3_6C,5,0.00012656270403021974,-0.004303177906253786,0.004556303314313892,-0.014579116497497324,0.014832241905557764,False
3_6C-80PER_3_6C,80PER_3_6C,6,0.00033660974052363013,-0.003946672656613304,0.004619892137660675,-0.014369069461003914,0.015042288942051174,False
3_6C-80PER_3_6C,80PER_3_6C,7,0.0005405060298495634,-0.003601104379780784,0.004682116439480355,-0.01416517317167798,0.015246185231377107,False
3_6C-80PER_3_6C,80PER_3_6C,8,0.0007383899959471085,-0.003266218050209768,0.004742998042104318,-0.013967289205580435,0.015444069197474652,False
3_6C-80PER_3_6C,80PER_3_6C,9,0.0009304000627546882,-0.002941758642354464,0.004802558767863729,-0.013775279138772856,0.015636079264282232,False
3_6C-80PER_3_6C,80PER_3_6C,10,0.0011166746542111694,-0.0026274711306679688,0.00486082043909053,-0.013589004547316375,0.015822353855738713,False
3_6C-80PER_3_6C,80PER_3_6C,11,0.0012973521942551969,-0.0023231004896048235,0.00491780487811555,-0.013408327007272347,0.01600303139578274,False
3_6C-80PER_3_6C,80PER_3_6C,12,0.0014725711068257485,-0.002028391693618903,0.004973533907270067,-0.013233108094701795,0.016178250308353292,False
3_6C-80PER_3_6C,80PER_3_6C,13,0.0016424698158610251,-0.0019799701880669485,0.005264909819788888,-0.013063209385666519,0.01634814901738857,False
