PolicyA,PolicyB,CurveRMSE,IntegratedDifference,MaxAbsDifference,SimultaneousBandRadius,SignificantCycleFraction,AnySignificantCycle,AllCyclesSignificant
3_6C-80PER_3_6C,80PER_3_6C,0.009931164864352464,0.008890015145068899,0.016200760001049863,0.014705679201527544,0.115,True,False
3_6C-80PER_3_6C,4_8C_80PER_4_8C,0.005833989785887046,0.0050442168550447536,0.011217250083028985,0.005973925503832023,0.34,True,False
3_6C-80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,0.0027586251042308967,0.00263992610376218,0.0032491885575350876,0.004059455311061583,0.0,False,False
3_6C-80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,0.002423208511397968,0.0023376880405435894,0.002871205988764336,0.004135699828633044,0.0,False,False
3_6C-80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,0.01071781731181669,0.010712803091576767,0.011256905629098535,0.017197468759034606,0.0,False,False
3_6C-80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,0.001990696573670236,0.0019389193900742582,0.0023597185976468316,0.003997251527758977,0.0,False,False
3_6C-80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,0.002199917218382224,0.002151531123941145,0.002608432240607139,0.004171043449750017,0.0,False,False
3_6C-80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,0.018804923937908623,0.016282508077878056,0.03077683927142416,0.0075927407759440735,0.775,True,False
80PER_3_6C,4_8C_80PER_4_8C,0.004272895380109873,-0.003845798290024147,0.005383931096507477,0.017198814821434594,0.0,False,False
80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,0.007301087891069662,-0.0062500890413067205,0.013444496840051667,0.013393974387418678,0.005,True,False
80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,0.0076863707156544685,-0.00655232710452531,0.014217446168210746,0.013757024841614379,0.025,True,False
80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,0.004879097276314758,0.0018227879465078651,0.0093117467687448,0.022573737077990486,0.0,False,False
80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,0.008159500637586404,-0.006951095754994642,0.015009372004349375,0.013364108944555775,0.085,True,False
80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,0.00799501260352472,-0.006738484021127755,0.014965338579539189,0.01357064775897654,0.065,True,False
80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,0.008920750435610086,0.007392492932809156,0.014576079270374298,0.01861118170506315,0.0,False,False
4_8C_80PER_4_8C,5_6C_19PER_4_6C_NEWSTRUCTURE,0.0034615068198868815,-0.0024042907512825734,0.008460986922030789,0.004484691245151162,0.225,True,False
4_8C_80PER_4_8C,5_6C_36PER_4_3C_NEWSTRUCTURE,0.0038346791540750332,-0.0027065288145011646,0.009233936250189867,0.0048582699741674396,0.235,True,False
4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0064806682827791735,0.005668586236532012,0.008937645196885668,0.01861003272569229,0.0,False,False
4_8C_80PER_4_8C,5C_67PER_4C_NEWSTRUCTURE,0.004263966335478283,-0.0031052974649704956,0.010025862086328496,0.004457476228506607,0.295,True,False
4_8C_80PER_4_8C,5_3C_54PER_4C_NEWSTRUCTURE,0.004135847202554303,-0.002892685731103609,0.00998182866151831,0.004708047516551861,0.265,True,False
4_8C_80PER_4_8C,3_7C_31PER_5_9C_NEWSTRUCTURE,0.01307947888818969,0.011238291222833305,0.019559589188395177,0.009704548989014294,0.615,True,False
