Response,Feature,NStrategy,PearsonCorrelation,SpearmanCorrelation,Interpretation
SOH200,NObservedCycle_mean,9,,,descriptive_association_not_causal
SOH200,PredictionTest_mean,9,,,descriptive_association_not_causal
SOH200,SOHEarly20Mean_mean,9,0.04266536155302312,0.31666666666666665,descriptive_association_not_causal
SOH200,SOHLate20Mean_mean,9,0.999337675019119,1.0,descriptive_association_not_causal
SOH200,SOHLateMinusEarly_mean,9,0.9572965443026188,0.8166666666666667,descriptive_association_not_causal
SOH200,IREarly20Mean_mean,9,0.42663959849030936,0.11666666666666665,descriptive_association_not_causal
SOH200,IRLate20Mean_mean,9,0.2985504323214598,0.09999999999999999,descriptive_association_not_causal
SOH200,IRLateMinusEarly_mean,9,-0.8072083464957686,-0.26666666666666666,descriptive_association_not_causal
SOH200,TemperatureEarly20Mean_mean,9,-0.09343942867630656,-0.15,descriptive_association_not_causal
SOH200,TemperatureLate20Mean_mean,9,-0.1078993638270216,-0.15,descriptive_association_not_causal
SOH200,TemperatureLateMinusEarly_mean,9,-0.13484868174395545,-0.06666666666666667,descriptive_association_not_causal
SOH200,ChargeTimeEarly20Mean_mean,9,0.003250303780483714,-0.16666666666666669,descriptive_association_not_causal
SOH200,ChargeTimeLate20Mean_mean,9,-0.07891061732227421,-0.3,descriptive_association_not_causal
SOH200,ChargeTimeLateMinusEarly_mean,9,-0.23485314569348506,-0.45,descriptive_association_not_causal
