cohort,response,model,fold,heldout_coordinate,lambda,intercept_standardized,coef_C1,coef_q,coef_C2,coef_E1,coef_E2,coef_J,coef_H,coef_J_high_50,coef_J_high_60,coef_J_high_70
all_complete,relative_loss200,constant_mean,1,3.600|0.800|3.600,,0.007974517830091867,,,,,,,,,,
all_complete,relative_loss200,constant_mean,2,3.700|0.310|5.900,,0.0034527855777897365,,,,,,,,,,
all_complete,relative_loss200,constant_mean,3,4.800|0.800|4.800,,0.007539651743994756,,,,,,,,,,
all_complete,relative_loss200,constant_mean,4,5.000|0.670|4.000,,0.007924614391111745,,,,,,,,,,
all_complete,relative_loss200,constant_mean,5,5.300|0.540|4.000,,0.0079542859945459,,,,,,,,,,
all_complete,relative_loss200,constant_mean,6,5.600|0.190|4.600,,0.007692045105677058,,,,,,,,,,
all_complete,relative_loss200,constant_mean,7,5.600|0.360|4.300,,0.007782378027871261,,,,,,,,,,
all_complete,relative_loss200,nearest_coordinate,1,3.600|0.800|3.600,,0.007974517830091867,,,,,,,,,,
all_complete,relative_loss200,nearest_coordinate,2,3.700|0.310|5.900,,0.0034527855777897365,,,,,,,,,,
all_complete,relative_loss200,nearest_coordinate,3,4.800|0.800|4.800,,0.007539651743994756,,,,,,,,,,
all_complete,relative_loss200,nearest_coordinate,4,5.000|0.670|4.000,,0.007924614391111745,,,,,,,,,,
all_complete,relative_loss200,nearest_coordinate,5,5.300|0.540|4.000,,0.0079542859945459,,,,,,,,,,
all_complete,relative_loss200,nearest_coordinate,6,5.600|0.190|4.600,,0.007692045105677058,,,,,,,,,,
all_complete,relative_loss200,nearest_coordinate,7,5.600|0.360|4.300,,0.007782378027871261,,,,,,,,,,
all_complete,relative_loss200,ridge_raw_C1_q_C2,1,3.600|0.800|3.600,1.0,0.007974517830091891,-0.005823084817448837,-0.002784652164449877,0.0036929933588972863,,,,,,,
all_complete,relative_loss200,ridge_raw_C1_q_C2,2,3.700|0.310|5.900,0.1,0.003452785577789735,-0.00040963936873069235,0.00033786939644544405,0.001853199702177047,,,,,,,
all_complete,relative_loss200,ridge_raw_C1_q_C2,3,4.800|0.800|4.800,0.0,0.007539651743994755,-0.0019086774891484992,0.0033263348522672093,0.012623414731708086,,,,,,,
