cohort,model,fold,heldout_coordinate,train_rmse,lag1_residual_correlation,n_train_policy,n_train_battery,quadratic_cycle,lambda_fixed,lambda_battery,lambda_policy
equal_T0_nonbaseline,hier_cycle_no_stress,1,3.700|0.310|5.900,0.001007999528307953,0.8199235578114851,6,34,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_no_stress,2,4.800|0.800|4.800,0.0009379056235116731,0.8668056690927635,5,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_no_stress,3,5.000|0.670|4.000,0.0011049103111470172,0.8428444317887424,6,30,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_no_stress,4,5.300|0.540|4.000,0.0011086537165148375,0.8623241833403171,6,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_no_stress,5,5.600|0.190|4.600,0.0011191711341759923,0.8454289197046976,6,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_no_stress,6,5.600|0.360|4.300,0.0011236114469638618,0.8513642494236747,6,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_linear,1,3.700|0.310|5.900,0.0010094847617188895,0.8209774586585181,6,34,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_linear,2,4.800|0.800|4.800,0.000851356991304071,0.8329020004498086,5,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_linear,3,5.000|0.670|4.000,0.0010422394574119863,0.8254382064235364,6,30,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_linear,4,5.300|0.540|4.000,0.0010375341150142068,0.8374208403310066,6,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_linear,5,5.600|0.190|4.600,0.0010526741539038443,0.8262608927561658,6,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_linear,6,5.600|0.360|4.300,0.0010524915110503251,0.8243452206920181,6,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_H_linear,1,3.700|0.310|5.900,0.0010095757145639032,0.8210523378119033,6,34,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_H_linear,2,4.800|0.800|4.800,0.0008414041962998455,0.8291589646254242,5,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_H_linear,3,5.000|0.670|4.000,0.001034373338777102,0.8107580039693475,6,30,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_H_linear,4,5.300|0.540|4.000,0.0010361543289327541,0.8285172532005162,6,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_H_linear,5,5.600|0.190|4.600,0.0010453392503352267,0.814039217298288,6,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_H_linear,6,5.600|0.360|4.300,0.001047843769659794,0.8179076507254339,6,29,False,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_H_linear,1,3.700|0.310|5.900,0.0010091419923771113,0.820733604526477,6,34,False,10.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_H_linear,2,4.800|0.800|4.800,0.0008563293310182774,0.8407094322834636,5,29,False,10.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_H_linear,3,5.000|0.670|4.000,0.001037989757276745,0.8204392921050062,6,30,False,10.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_H_linear,4,5.300|0.540|4.000,0.0010390602903818855,0.8375182466852338,6,29,False,10.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_H_linear,5,5.600|0.190|4.600,0.001048552260571821,0.8220207959130084,6,29,False,10.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_H_linear,6,5.600|0.360|4.300,0.0010538413484787793,0.8273959690191637,6,29,False,10.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_quadratic,1,3.700|0.310|5.900,0.000784870952854995,0.7043737670385196,6,34,True,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_quadratic,2,4.800|0.800|4.800,0.000646617762478966,0.7301890827818688,5,29,True,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_quadratic,3,5.000|0.670|4.000,0.000837980873886085,0.7247942950581776,6,30,True,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_quadratic,4,5.300|0.540|4.000,0.0008260179238995096,0.7313818408310311,6,29,True,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_quadratic,5,5.600|0.190|4.600,0.000841224401065497,0.7108089901881,6,29,True,1.0,1.0,10.0
equal_T0_nonbaseline,hier_cycle_J_quadratic,6,5.600|0.360|4.300,0.0008373961867276774,0.721208139335823,6,29,True,1.0,1.0,10.0
explicit_new_structure,hier_cycle_no_stress,1,3.700|0.310|5.900,0.0008748499902257293,0.8129403762667284,5,32,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_no_stress,2,4.800|0.800|4.800,0.0009379056235116731,0.8668056690927635,5,29,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_no_stress,3,5.000|0.670|4.000,0.0009795358829658251,0.8363641265568792,5,28,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_no_stress,4,5.300|0.540|4.000,0.000979241882688892,0.8567218644320748,5,27,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_no_stress,5,5.600|0.190|4.600,0.0009913783932483187,0.8385916479659565,5,27,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_no_stress,6,5.600|0.360|4.300,0.0009970281917627024,0.8450637854175952,5,27,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_linear,1,3.700|0.310|5.900,0.0008750653635794196,0.8130273684861247,5,32,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_linear,2,4.800|0.800|4.800,0.000851356991304071,0.8329020004498086,5,29,False,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_linear,3,5.000|0.670|4.000,0.0008819028759629846,0.8129660262784695,5,28,False,1.0,1.0,10.0
