cohort,response,model,rmse,mae,n_coordinate_folds,baseline_rmse,relative_rmse_improvement
all_complete,relative_loss200,nearest_coordinate,0.008843969266456825,0.004172005028368447,7,0.012345949157306607,0.28365416431163837
all_complete,relative_loss200,ridge_Jhigh70,0.010606013599438868,0.007090312407833447,7,0.012345949157306607,0.14093169635629088
all_complete,relative_loss200,ridge_raw_C1_q_C2,0.011108939144622746,0.008294841822269947,7,0.012345949157306607,0.10019561857273418
all_complete,relative_loss200,ridge_Jhigh60,0.01192319981333372,0.008209419664880525,7,0.012345949157306607,0.034241947588346755
all_complete,relative_loss200,ridge_J,0.012180123926169493,0.008421250743620592,7,0.012345949157306607,0.013431549816400712
all_complete,relative_loss200,constant_mean,0.012345949157306607,0.008833647804854605,7,0.012345949157306607,0.0
all_complete,relative_loss200,ridge_stage_E1_E2,0.01244041123841869,0.009032654581574134,7,0.012345949157306607,-0.007651261147157529
all_complete,relative_loss200,ridge_Jhigh50,0.012470631839967784,0.00904427056713145,7,0.012345949157306607,-0.010099076310174704
all_complete,relative_loss200,ridge_H,0.017206496199150313,0.012505738401128818,7,0.012345949157306607,-0.39369569564176654
all_complete,relative_loss200,ridge_J_H,0.029097124763155083,0.017938285047124268,7,0.012345949157306607,-1.356815534586481
all_complete,soh200,ridge_raw_C1_q_C2,0.007194867430501146,0.0055677073763282315,7,0.01155735492632119,0.37746417961818735
all_complete,soh200,nearest_coordinate,0.008137351407107023,0.004344173146376743,7,0.01155735492632119,0.2959157645513951
all_complete,soh200,ridge_J_H,0.008292103132408777,0.0060780371674358236,7,0.01155735492632119,0.2825258733272954
all_complete,soh200,ridge_Jhigh70,0.009194418170057988,0.0060062806240425304,7,0.01155735492632119,0.2044530752345205
all_complete,soh200,ridge_Jhigh60,0.00963025035942415,0.006711845450539711,7,0.01155735492632119,0.16674270014051173
all_complete,soh200,ridge_Jhigh50,0.010375174395031259,0.0076075220558976375,7,0.01155735492632119,0.10228815666096625
all_complete,soh200,ridge_J,0.011226033625035685,0.008029544174612087,7,0.01155735492632119,0.0286675717236079
