Family,model,feature,n_strategy,loco_rmse_log_t80,loco_mae_log_t80,full_intercept,full_slope_original_scale,expected_negative_direction,relative_rmse_improvement_vs_constant,eligible_explanatory,selected_primary_explanatory,selection_status
linear,linear_J,J,6,0.6416451863401639,0.4496826588012506,47.521668017634035,-10.003161730098254,True,0.2029008279033424,True,True,selected_eligible_explanatory_model
linear,linear_J_high_70,J_high_70,6,0.7973705999548333,0.5569099570827274,12.676224211532274,-9.159931223236029,True,0.009447185751561893,True,False,selected_eligible_explanatory_model
linear,constant_mean,none,6,0.8049753516270832,0.5936191843786728,8.46265584884369,,False,0.0,False,False,selected_eligible_explanatory_model
linear,linear_J_high_60,J_high_60,6,0.8297576837896171,0.5670297678943238,13.071524742132029,-4.946907577769227,True,-0.030786448445212278,False,False,selected_eligible_explanatory_model
linear,linear_J_high_50,J_high_50,6,0.8785586561853145,0.5974676617192555,13.55143535119665,-3.591234652330951,True,-0.09141063066030353,False,False,selected_eligible_explanatory_model
linear,linear_H,H,6,1.0663165632977296,0.636346781065204,17.258999585226142,-5.710323256225776,True,-0.3246574086304652,False,False,selected_eligible_explanatory_model
power,linear_J,J,6,0.49321566427755315,0.3550034217596288,43.25154772041351,-9.023104652155439,True,0.31539362560075224,True,True,selected_eligible_explanatory_model
power,constant_mean,none,6,0.7204368564496018,0.5269903542993046,8.019331755297221,,False,0.0,False,False,selected_eligible_explanatory_model
power,linear_J_high_70,J_high_70,6,0.807048598321939,0.5519225392072052,11.63429850161542,-7.858623361561296,True,-0.12022114234850534,False,False,selected_eligible_explanatory_model
power,linear_J_high_60,J_high_60,6,0.8279640148034454,0.5403359816482406,12.006417006410702,-4.279519053073501,True,-0.1492527171413054,False,False,selected_eligible_explanatory_model
power,linear_J_high_50,J_high_50,6,0.8602928088797782,0.5697670581497571,12.458694091160485,-3.132930371110278,True,-0.19412659302218827,False,False,selected_eligible_explanatory_model
power,linear_H,H,6,1.0836065009314628,0.6357586237892993,15.74393639049951,-5.014582287309019,True,-0.5040964259818745,False,False,selected_eligible_explanatory_model
exponential,linear_J,J,6,0.36419255966222536,0.25569106357125015,30.572344198058673,-5.897997114274095,True,0.22925960726827443,True,True,selected_eligible_explanatory_model
exponential,constant_mean,none,6,0.4725229961951549,0.3488323485117233,7.542631465856406,,False,0.0,False,False,selected_eligible_explanatory_model
exponential,linear_J_high_70,J_high_70,6,0.5110792416193976,0.3534489721897887,9.96178579995526,-5.259031161084453,True,-0.08159654817798256,False,False,selected_eligible_explanatory_model
exponential,linear_J_high_60,J_high_60,6,0.5214068976333471,0.344426054354291,10.210121537364943,-2.8631378227283,True,-0.10345295748950778,False,False,selected_eligible_explanatory_model
exponential,linear_J_high_50,J_high_50,6,0.5353511885679031,0.35753161001104655,10.512960661007888,-2.096209735463289,True,-0.13296324809300875,False,False,selected_eligible_explanatory_model
exponential,linear_H,H,6,0.6357444414679116,0.3729917651326855,12.705457112620483,-3.35155199047283,True,-0.34542540064091454,False,False,selected_eligible_explanatory_model
