Family,policy,n_batteries,mean_log_t80,median_t80,mean_t80,minimum_t80,maximum_t80
linear,3_6C-80PER_3_6C,3,8.887992642187534,8537.553011073102,7804.252581162252,4153.609409904077,10721.595322509576
linear,3_7C_31PER_5_9C_NEWSTRUCTURE,3,6.97860788789701,1000.7654261087616,1088.9064167592298,914.4705431575212,1351.4832810114071
linear,4_8C_80PER_4_8C,3,7.580021456847149,1595.102382952142,2053.044746868396,1577.1874352634584,2986.844422389588
linear,4_8C_80PER_4_8C_NEWSTRUCTURE,6,8.893863338344289,7362.153531974398,7530.597598335643,4362.137165664621,10356.4511313131
linear,5C_67PER_4C_NEWSTRUCTURE,7,8.828754005077062,6433.99321775483,6950.482670636624,5539.4141101107225,9674.024278626654
linear,5_3C_54PER_4C_NEWSTRUCTURE,8,8.80508519546536,6159.234120001271,6874.693222199865,4868.836386771505,10663.631515278665
linear,5_6C_19PER_4_6C_NEWSTRUCTURE,8,8.61201822524016,5614.816847788112,5563.610522467585,4278.580456686275,6937.498775279307
linear,5_6C_36PER_4_3C_NEWSTRUCTURE,8,8.657606441038268,5654.2543316315705,5915.671331891389,4312.676825316418,8699.675010820529
linear,80PER_3_6C,3,8.044658692231147,4672.691987089263,3915.7221011302736,1081.550265756956,5992.924050544601
power,3_6C-80PER_3_6C,3,8.28805027799198,4392.674305209715,4054.7267625406603,2997.358123070252,4774.147859342012
power,3_7C_31PER_5_9C_NEWSTRUCTURE,3,6.701855869548958,780.0126622864636,821.3323624422005,708.9491559647413,975.0352690753966
power,4_8C_80PER_4_8C,3,7.2778618108635085,1207.195469332358,1502.4913321358629,1193.4161383121798,2106.8623887630515
power,4_8C_80PER_4_8C_NEWSTRUCTURE,6,8.503863784610763,4985.338060220903,5189.291494273551,2671.6617926053977,7750.741785460713
power,5C_67PER_4C_NEWSTRUCTURE,7,8.288476730534809,3763.326511836735,4020.868117765264,3345.277424664734,5063.474616213515
power,5_3C_54PER_4C_NEWSTRUCTURE,8,8.288353397674829,3755.542109271373,4094.202373375628,2989.508833458709,6086.138307740957
power,5_6C_19PER_4_6C_NEWSTRUCTURE,8,8.12284860192531,3447.8884390687385,3402.6049571509,2775.653669542638,4274.139919538911
power,5_6C_36PER_4_3C_NEWSTRUCTURE,8,8.210592147488653,3569.48139354845,3779.2819302031585,2862.64112811153,5638.628835627478
power,80PER_3_6C,3,7.591290249667945,2861.2125443956406,2323.9198530886492,827.4265678347491,3283.1204470355583
exponential,3_6C-80PER_3_6C,3,7.721758830713418,2377.0964263633864,2268.4480945613645,1956.9528349003351,2471.2950224203723
exponential,3_7C_31PER_5_9C_NEWSTRUCTURE,3,6.670550594577098,762.2826992989162,793.9175699582537,701.3474414332368,918.122569142608
exponential,4_8C_80PER_4_8C,3,7.114403108791748,1085.3099896268586,1251.0477296353406,1075.8044014292348,1592.0287978499284
exponential,4_8C_80PER_4_8C_NEWSTRUCTURE,6,7.819082808718176,2522.330846336081,2517.204650295351,1833.7993040095248,3039.5376870292494
exponential,5C_67PER_4C_NEWSTRUCTURE,7,7.723682173088645,2203.732230864568,2267.055117119359,2074.1956348496865,2538.807650881572
exponential,5_3C_54PER_4C_NEWSTRUCTURE,8,7.720799640163849,2201.21538232066,2269.5816963939205,1952.8646768695653,2753.159377954164
exponential,5_6C_19PER_4_6C_NEWSTRUCTURE,8,7.639549706397916,2107.2062293523886,2084.1941546777302,1874.1703850803208,2346.4185165268773
exponential,5_6C_36PER_4_3C_NEWSTRUCTURE,8,7.6821238721927525,2140.903879080066,2183.30932354974,1906.4997979810844,2664.512960073179
exponential,80PER_3_6C,3,7.289082364261205,1906.477453887252,1587.353682854499,801.716240396068,2053.867354280177
