cohort,model,held_coordinate,n_train_policy_rows,n_test_policy_rows,n_parameters_including_intercept,residual_df_proxy,validation_support
all_complete,constant_mean,3.600|0.800|3.600,7,1,1,6,limited_coordinate_validation
all_complete,constant_mean,3.700|0.310|5.900,7,1,1,6,limited_coordinate_validation
all_complete,constant_mean,4.800|0.800|4.800,6,2,1,5,limited_coordinate_validation
all_complete,constant_mean,5.000|0.670|4.000,7,1,1,6,limited_coordinate_validation
all_complete,constant_mean,5.300|0.540|4.000,7,1,1,6,limited_coordinate_validation
all_complete,constant_mean,5.600|0.190|4.600,7,1,1,6,limited_coordinate_validation
all_complete,constant_mean,5.600|0.360|4.300,7,1,1,6,limited_coordinate_validation
all_complete,log_rate_J_H,3.600|0.800|3.600,7,1,3,4,limited_coordinate_validation
all_complete,log_rate_J_H,3.700|0.310|5.900,7,1,3,4,limited_coordinate_validation
all_complete,log_rate_J_H,4.800|0.800|4.800,6,2,3,3,limited_coordinate_validation
all_complete,log_rate_J_H,5.000|0.670|4.000,7,1,3,4,limited_coordinate_validation
all_complete,log_rate_J_H,5.300|0.540|4.000,7,1,3,4,limited_coordinate_validation
all_complete,log_rate_J_H,5.600|0.190|4.600,7,1,3,4,limited_coordinate_validation
all_complete,log_rate_J_H,5.600|0.360|4.300,7,1,3,4,limited_coordinate_validation
explicit_new_structure,constant_mean,3.700|0.310|5.900,5,1,1,4,limited_coordinate_validation
explicit_new_structure,constant_mean,4.800|0.800|4.800,5,1,1,4,limited_coordinate_validation
explicit_new_structure,constant_mean,5.000|0.670|4.000,5,1,1,4,limited_coordinate_validation
explicit_new_structure,constant_mean,5.300|0.540|4.000,5,1,1,4,limited_coordinate_validation
explicit_new_structure,constant_mean,5.600|0.190|4.600,5,1,1,4,limited_coordinate_validation
explicit_new_structure,constant_mean,5.600|0.360|4.300,5,1,1,4,limited_coordinate_validation
explicit_new_structure,log_rate_J_H,3.700|0.310|5.900,5,1,3,2,very_low_df_diagnostic_only
explicit_new_structure,log_rate_J_H,4.800|0.800|4.800,5,1,3,2,very_low_df_diagnostic_only
explicit_new_structure,log_rate_J_H,5.000|0.670|4.000,5,1,3,2,very_low_df_diagnostic_only
explicit_new_structure,log_rate_J_H,5.300|0.540|4.000,5,1,3,2,very_low_df_diagnostic_only
explicit_new_structure,log_rate_J_H,5.600|0.190|4.600,5,1,3,2,very_low_df_diagnostic_only
explicit_new_structure,log_rate_J_H,5.600|0.360|4.300,5,1,3,2,very_low_df_diagnostic_only
explicit_new_without_3_7C,constant_mean,4.800|0.800|4.800,4,1,1,3,limited_coordinate_validation
explicit_new_without_3_7C,constant_mean,5.000|0.670|4.000,4,1,1,3,limited_coordinate_validation
explicit_new_without_3_7C,constant_mean,5.300|0.540|4.000,4,1,1,3,limited_coordinate_validation
explicit_new_without_3_7C,constant_mean,5.600|0.190|4.600,4,1,1,3,limited_coordinate_validation
explicit_new_without_3_7C,constant_mean,5.600|0.360|4.300,4,1,1,3,limited_coordinate_validation
explicit_new_without_3_7C,log_rate_J_H,4.800|0.800|4.800,4,1,3,1,very_low_df_diagnostic_only
explicit_new_without_3_7C,log_rate_J_H,5.000|0.670|4.000,4,1,3,1,very_low_df_diagnostic_only
explicit_new_without_3_7C,log_rate_J_H,5.300|0.540|4.000,4,1,3,1,very_low_df_diagnostic_only
explicit_new_without_3_7C,log_rate_J_H,5.600|0.190|4.600,4,1,3,1,very_low_df_diagnostic_only
explicit_new_without_3_7C,log_rate_J_H,5.600|0.360|4.300,4,1,3,1,very_low_df_diagnostic_only
