battery_id,policy,dataset_id,C1,q,C2,new_structure,late_degradation_rate,late_rate_valid_for_log_model,late_rate_exclusion_reason,log_late_degradation_rate
1,3_6C-80PER_3_6C,1,3.6,0.8,3.6,0,8.390447291001184e-05,True,,-9.385831633516318
3,3_6C-80PER_3_6C,1,3.6,0.8,3.6,0,2.261819973400309e-05,True,,-10.696755677799727
4,80PER_3_6C,2,,0.8,3.6,0,0.0001971890395991081,True,,-8.531347697466598
6,80PER_3_6C,2,,0.8,3.6,0,5.396135704343913e-05,True,,-9.827242377877958
7,4_8C_80PER_4_8C,2,4.8,0.8,4.8,0,0.0001053614500797818,True,,-9.15811373752808
8,4_8C_80PER_4_8C,2,4.8,0.8,4.8,0,0.0001677553307429423,True,,-8.693004004716094
12,5_6C_19PER_4_6C_NEWSTRUCTURE,3,5.6,0.19,4.6,1,4.703088166104064e-05,True,,-9.964706115403521
13,5_6C_36PER_4_3C_NEWSTRUCTURE,3,5.6,0.36,4.3,1,3.9283850825911755e-05,True,,-10.144697044000267
15,5_6C_36PER_4_3C_NEWSTRUCTURE,3,5.6,0.36,4.3,1,5.478144268755752e-05,True,,-9.812159058449158
17,4_8C_80PER_4_8C_NEWSTRUCTURE,3,4.8,0.8,4.8,1,1.976204850083729e-05,True,,-10.831747201947106
18,5C_67PER_4C_NEWSTRUCTURE,3,5.0,0.67,4.0,1,3.911278861938169e-05,True,,-10.149061069785718
19,5_3C_54PER_4C_NEWSTRUCTURE,3,5.3,0.54,4.0,1,2.3772778060913843e-05,True,,-10.646969410854396
20,4_8C_80PER_4_8C_NEWSTRUCTURE,3,4.8,0.8,4.8,1,3.393293857872924e-05,True,,-10.291124375823435
21,5_6C_19PER_4_6C_NEWSTRUCTURE,3,5.6,0.19,4.6,1,5.055076483607561e-05,True,,-9.892532482323915
22,5_6C_36PER_4_3C_NEWSTRUCTURE,3,5.6,0.36,4.3,1,2.6330603969386846e-05,True,,-10.5447786462692
23,5_6C_19PER_4_6C_NEWSTRUCTURE,3,5.6,0.19,4.6,1,5.256542135628053e-05,True,,-9.853452043059152
26,5_3C_54PER_4C_NEWSTRUCTURE,3,5.3,0.54,4.0,1,3.158137457914885e-05,True,,-10.362943023195228
27,5_6C_19PER_4_6C_NEWSTRUCTURE,3,5.6,0.19,4.6,1,4.2463740622317045e-05,True,,-10.066860008011423
28,5_6C_36PER_4_3C_NEWSTRUCTURE,3,5.6,0.36,4.3,1,4.030122344032808e-05,True,,-10.119128731151646
29,5C_67PER_4C_NEWSTRUCTURE,3,5.0,0.67,4.0,1,3.948787734651599e-05,True,,-10.139516835781293
30,3_7C_31PER_5_9C_NEWSTRUCTURE,3,3.7,0.31,5.9,1,0.00014814429925541454,True,,-8.817323764230014
31,5C_67PER_4C_NEWSTRUCTURE,3,5.0,0.67,4.0,1,4.275331254224799e-05,True,,-10.060063879215045
32,5_3C_54PER_4C_NEWSTRUCTURE,3,5.3,0.54,4.0,1,3.384987223269676e-05,True,,-10.293575333127242
33,5_6C_19PER_4_6C_NEWSTRUCTURE,3,5.6,0.19,4.6,1,4.096893332230292e-05,True,,-10.102696502324047
34,5_6C_36PER_4_3C_NEWSTRUCTURE,3,5.6,0.36,4.3,1,4.5276344868664914e-05,True,,-10.002725850192787
35,3_7C_31PER_5_9C_NEWSTRUCTURE,3,3.7,0.31,5.9,1,0.00021390864328387898,True,,-8.449961534633022
36,5_3C_54PER_4C_NEWSTRUCTURE,3,5.3,0.54,4.0,1,4.0738249986981455e-05,True,,-10.108343103734247
37,5C_67PER_4C_NEWSTRUCTURE,3,5.0,0.67,4.0,1,3.473232965296251e-05,True,,-10.267839614478357
38,5_3C_54PER_4C_NEWSTRUCTURE,3,5.3,0.54,4.0,1,3.9155677445188556e-05,True,,-10.147965128284469
39,5_6C_19PER_4_6C_NEWSTRUCTURE,3,5.6,0.19,4.6,1,3.739460054048813e-05,True,,-10.193984234541405
40,5_6C_36PER_4_3C_NEWSTRUCTURE,3,5.6,0.36,4.3,1,4.6995047693115116e-05,True,,-9.965468330037432
41,4_8C_80PER_4_8C_NEWSTRUCTURE,3,4.8,0.8,4.8,1,3.8615584355917606e-05,True,,-10.161854623183856
42,5C_67PER_4C_NEWSTRUCTURE,3,5.0,0.67,4.0,1,2.58895796909888e-05,True,,-10.561669998747872
43,5_3C_54PER_4C_NEWSTRUCTURE,3,5.3,0.54,4.0,1,3.525229426755142e-05,True,,-10.252979945219677
44,5_6C_19PER_4_6C_NEWSTRUCTURE,3,5.6,0.19,4.6,1,5.013060525451934e-05,True,,-9.900878853062979
45,5_6C_36PER_4_3C_NEWSTRUCTURE,3,5.6,0.36,4.3,1,3.230305855195238e-05,True,,-10.34034864020776
46,4_8C_80PER_4_8C_NEWSTRUCTURE,3,4.8,0.8,4.8,1,2.670618489959886e-05,True,,-10.530615375203707
47,5C_67PER_4C_NEWSTRUCTURE,3,5.0,0.67,4.0,1,3.465071586669608e-05,True,,-10.270192172608267
48,5_3C_54PER_4C_NEWSTRUCTURE,3,5.3,0.54,4.0,1,2.6363926036175183e-05,True,,-10.543513920263429
49,4_8C_80PER_4_8C_NEWSTRUCTURE,3,4.8,0.8,4.8,1,3.051498865793098e-05,True,,-10.397292563656203
