BatteryId,Policy,Family,Candidate,SelectedFamily,Intercept,Coefficient,EstimatedT80,T80Status,ExtrapolationMultiple,time,loss,late_slope_loss
1,3_6C-80PER_3_6C,exponential,exponential_w60_s0.001,False,1.0084475490185625,-0.0342969572683382,1956.9528349003351,finite_extrapolation,13.046352232668902,13.4086513554808,0.0024747632825989,8.104333056531e-05
1,3_6C-80PER_3_6C,linear,linear_w40_s1,True,1.0103024928200517,-5.063126357490324e-05,4153.609409904077,finite_extrapolation,27.69072939936052,13.4086513554808,0.0024747632825989,8.104333056531e-05
1,3_6C-80PER_3_6C,power,power_w60_s1.25,False,1.0078025491503102,-9.369740792954609e-06,2997.358123070252,finite_extrapolation,19.98238748713501,13.4086513554808,0.0024747632825989,8.104333056531e-05
3,3_6C-80PER_3_6C,exponential,exponential_w60_s0.001,False,0.9991537139785136,-0.0183758990279746,2471.2950224203723,finite_extrapolation,16.47530014946915,13.3673534835601,-0.00143399418893,1.900853209654453e-05
3,3_6C-80PER_3_6C,linear,linear_w40_s1,True,0.9990028389691128,-1.856093547490214e-05,10721.595322509576,finite_extrapolation,71.47730215006385,13.3673534835601,-0.00143399418893,1.900853209654453e-05
3,3_6C-80PER_3_6C,power,power_w60_s1.25,False,0.9988038964372168,-5.009623186694412e-06,4774.147859342012,finite_extrapolation,31.82765239561341,13.3673534835601,-0.00143399418893,1.900853209654453e-05
4,80PER_3_6C,exponential,exponential_w60_s0.001,False,1.0039925613216008,-0.1659334414198436,801.716240396068,finite_extrapolation,5.344774935973787,13.7314586052367,0.031329402598616,0.0002048394956678
4,80PER_3_6C,linear,linear_w40_s1,True,1.0056696689163864,-0.0001901619142707,1081.550265756956,finite_extrapolation,7.210335105046373,13.7314586052367,0.031329402598616,0.0002048394956678
4,80PER_3_6C,power,power_w60_s1.25,False,1.0008421863918753,-4.525776609847711e-05,827.4265678347491,finite_extrapolation,5.516177118898328,13.7314586052367,0.031329402598616,0.0002048394956678
6,80PER_3_6C,exponential,exponential_w60_s0.001,False,1.0010397107464544,-0.0295733592309271,2053.867354280177,finite_extrapolation,13.692449028534512,14.828321327044,0.003393751588733,5.079556454297858e-05
6,80PER_3_6C,linear,linear_w40_s1,True,1.0012962069522642,-3.358898014633967e-05,5992.924050544601,finite_extrapolation,39.952827003630674,14.828321327044,0.003393751588733,5.079556454297858e-05
6,80PER_3_6C,power,power_w60_s1.25,False,1.0004786070869442,-8.06695280898334e-06,3283.1204470355583,finite_extrapolation,21.88746964690372,14.828321327044,0.003393751588733,5.079556454297858e-05
7,4_8C_80PER_4_8C,exponential,exponential_w60_s0.001,False,1.0033560365006498,-0.0519599443508188,1592.0287978499284,finite_extrapolation,10.613525318999525,12.9231478085242,0.006617713359755,0.0001022905938169
7,4_8C_80PER_4_8C,linear,linear_w40_s1,True,1.0051160203091338,-6.867315176229809e-05,2986.844422389588,finite_extrapolation,19.91229614926392,12.9231478085242,0.006617713359755,0.0001022905938169
7,4_8C_80PER_4_8C,power,power_w60_s1.25,False,1.0023718508709585,-1.4177670894108304e-05,2106.8623887630515,finite_extrapolation,14.045749258420344,12.9231478085242,0.006617713359755,0.0001022905938169
8,4_8C_80PER_4_8C,exponential,exponential_w60_s0.001,False,1.0070012962060282,-0.1055936538866619,1085.3099896268586,finite_extrapolation,7.235399930845724,13.2409229226557,0.015564272231617,0.000164605054293
8,4_8C_80PER_4_8C,linear,linear_w40_s1,True,1.0096741916293115,-0.0001329418349026,1577.1874352634584,finite_extrapolation,10.51458290175639,13.2409229226557,0.015564272231617,0.000164605054293
8,4_8C_80PER_4_8C,power,power_w60_s1.25,False,1.0050001073967587,-2.880925930154156e-05,1207.195469332358,finite_extrapolation,8.047969795549053,13.2409229226557,0.015564272231617,0.000164605054293
12,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0004367354434458,-0.0250887012969036,2196.0153568332275,finite_extrapolation,14.640102378888184,10.1973217061611,0.0038425584863259,4.837780519839768e-05
12,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0013806114865746,-3.383778926635268e-05,5951.352492369283,finite_extrapolation,39.67568328246189,10.1973217061611,0.0038425584863259,4.837780519839768e-05
12,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.999961710682248,-6.846110406268539e-06,3735.9611886268376,finite_extrapolation,24.90640792417892,10.1973217061611,0.0038425584863259,4.837780519839768e-05
13,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0007770735991892,-0.0236236617007807,2251.184626191735,finite_extrapolation,15.007897507944898,10.1874366906044,0.0026172150619609,4.179662428437466e-05
13,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0019745589877191,-3.413221570172897e-05,5917.417162504574,finite_extrapolation,39.449447750030494,10.1874366906044,0.0026172150619609,4.179662428437466e-05
13,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0003308943521996,-6.449099051687344e-06,3924.633495109874,finite_extrapolation,26.16422330073249,10.1874366906044,0.0026172150619609,4.179662428437466e-05
15,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0014767612505435,-0.0325361712471174,1973.023949011537,finite_extrapolation,13.153492993410246,10.1995672108021,0.004551972126787,5.6507029447599205e-05
15,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0031310470044938,-4.710092020159434e-05,4312.676825316418,finite_extrapolation,28.751178835442783,10.1995672108021,0.004551972126787,5.6507029447599205e-05
15,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0008633607606243,-8.884922386482965e-06,3043.670739100565,finite_extrapolation,20.29113826067044,10.1995672108021,0.004551972126787,5.6507029447599205e-05
17,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,0.9999343250350052,-0.0100491826809382,3039.5376870292494,finite_extrapolation,20.263584580194998,11.1726831852861,0.001190808727717,1.5419552657145687e-05
17,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0010977389977385,-1.941763027198692e-05,10356.4511313131,finite_extrapolation,69.04300754208732,11.1726831852861,0.001190808727717,1.5419552657145687e-05
17,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.999745832963075,-2.746620404596272e-06,7750.741785460713,finite_extrapolation,51.67161190307142,11.1726831852861,0.001190808727717,1.5419552657145687e-05
18,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0014183896483275,-0.0275604569768647,2117.2475993004086,finite_extrapolation,14.114983995336058,10.182849490125,0.0020625586162099,3.549143748548236e-05
18,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0023646384403255,-3.6531776541306565e-05,5539.4141101107225,finite_extrapolation,36.92942740073815,10.182849490125,0.0020625586162099,3.549143748548236e-05
18,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0008962490445863,-7.519804637099946e-06,3478.6618643545057,finite_extrapolation,23.191079095696704,10.182849490125,0.0020625586162099,3.549143748548236e-05
19,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.000587462816962,-0.0136527139942268,2753.159377954164,finite_extrapolation,18.35439585302776,10.2038060613359,-0.0001800365192901,2.146890328944858e-05
19,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0011535523178638,-1.886351305647185e-05,10663.631515278665,finite_extrapolation,71.09087676852442,10.2038060613359,-0.0001800365192901,2.146890328944858e-05
19,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0003294210904576,-3.7266401971352856e-06,6086.138307740957,finite_extrapolation,40.57425538493972,10.2038060613359,-0.0001800365192901,2.146890328944858e-05
20,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0008198792596557,-0.0201381241468144,2395.3579113468186,finite_extrapolation,15.969052742312124,11.2108420194987,0.001598526614753,3.079385022819096e-05
20,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0018230674940205,-2.890536809933316e-05,6982.200219712007,finite_extrapolation,46.54800146474672,11.2108420194987,0.001598526614753,3.079385022819096e-05
20,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0004370733232752,-5.49143440119159e-06,4465.126859275988,finite_extrapolation,29.76751239517325,11.2108420194987,0.001598526614753,3.079385022819096e-05
21,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.001602273089008,-0.0365525345879426,1874.1703850803208,finite_extrapolation,12.494469233868806,10.2959345772059,0.0047183777082739,4.944971698881697e-05
21,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0027122586511226,-4.737839119849612e-05,4278.580456686275,finite_extrapolation,28.52386971124184,10.2959345772059,0.0047183777082739,4.944971698881697e-05
21,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.000909369952271,-9.972260074590069e-06,2775.653669542638,finite_extrapolation,18.50435779695092,10.2959345772059,0.0047183777082739,4.944971698881697e-05
22,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.000383647098992,-0.0149977056149588,2664.512960073179,finite_extrapolation,17.76341973382119,10.2544309470103,0.0013005215017729,2.400219016422709e-05
22,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0013369159116552,-2.3143038752739067e-05,8699.675010820529,finite_extrapolation,57.99783340547019,10.2544309470103,0.0013005215017729,2.400219016422709e-05
22,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0001007834328473,-4.09526400337275e-06,5638.628835627478,finite_extrapolation,37.59085890418319,10.2544309470103,0.0013005215017729,2.400219016422709e-05
23,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0016096532656695,-0.0357619776944168,1892.741722700784,finite_extrapolation,12.618278151338558,10.2880135787321,0.0037713335332979,4.9169590205041655e-05
