Family,Policy,NBattery,NFiniteT80,TimeMean,T80Median,T80Mean,T80Min,T80Max,ParetoTimeMaxT80,T80Rank
exponential,3_6C-80PER_3_6C,2,2,13.38800241952045,2214.1239286603536,2214.1239286603536,1956.9528349003351,2471.2950224203723,False,2
exponential,3_7C_31PER_5_9C_NEWSTRUCTURE,2,2,10.851867338010951,809.7350052879224,809.7350052879224,701.3474414332368,918.122569142608,False,9
exponential,4_8C_80PER_4_8C,2,2,13.08203536558995,1338.6693937383934,1338.6693937383934,1085.3099896268586,1592.0287978499284,False,8
exponential,4_8C_80PER_4_8C_NEWSTRUCTURE,5,5,11.160462287633361,2534.9779137851883,2518.708824577026,1833.7993040095248,3039.5376870292494,True,1
exponential,5C_67PER_4C_NEWSTRUCTURE,6,6,10.158737727484366,2173.4664334445565,2247.9127539979304,2074.1956348496865,2538.807650881572,True,3
exponential,5_3C_54PER_4C_NEWSTRUCTURE,7,7,10.157513242825358,2155.353812646861,2263.783623800862,1952.8646768695653,2753.159377954164,True,4
exponential,5_6C_19PER_4_6C_NEWSTRUCTURE,7,7,10.249731197117585,2091.2938711890297,2046.7335315564237,1874.1703850803208,2196.0153568332275,False,5
exponential,5_6C_36PER_4_3C_NEWSTRUCTURE,7,7,10.214658808573457,2030.6231319683973,2170.09354445203,1906.4997979810844,2664.512960073179,False,6
exponential,80PER_3_6C,2,2,14.279889966140349,1427.7917973381225,1427.7917973381225,801.716240396068,2053.867354280177,False,7
linear,3_6C-80PER_3_6C,2,2,13.38800241952045,7437.602366206827,7437.602366206827,4153.609409904077,10721.595322509576,True,1
linear,3_7C_31PER_5_9C_NEWSTRUCTURE,2,2,10.851867338010951,1132.9769120844642,1132.9769120844642,914.4705431575212,1351.4832810114071,False,9
linear,4_8C_80PER_4_8C,2,2,13.08203536558995,2282.015928826523,2282.015928826523,1577.1874352634584,2986.844422389588,False,8
linear,4_8C_80PER_4_8C_NEWSTRUCTURE,5,5,11.160462287633361,7332.741588482192,7558.404022909452,4362.137165664621,10356.4511313131,True,2
linear,5C_67PER_4C_NEWSTRUCTURE,6,6,10.158737727484366,6350.4531030301405,7013.800400259326,5539.4141101107225,9674.024278626654,True,3
linear,5_3C_54PER_4C_NEWSTRUCTURE,7,7,10.157513242825358,5961.4226583593,6889.521211233785,4868.836386771505,10663.631515278665,True,4
linear,5_6C_19PER_4_6C_NEWSTRUCTURE,7,7,10.249731197117585,5278.2812032069405,5367.340772065911,4278.580456686275,6359.133829140637,False,6
linear,5_6C_36PER_4_3C_NEWSTRUCTURE,7,7,10.214658808573457,5391.091500758567,5893.4826578329385,4312.676825316418,8699.675010820529,False,5
linear,80PER_3_6C,2,2,14.279889966140349,3537.2371581507787,3537.2371581507787,1081.550265756956,5992.924050544601,False,7
power,3_6C-80PER_3_6C,2,2,13.38800241952045,3885.7529912061323,3885.7529912061323,2997.358123070252,4774.147859342012,False,2
power,3_7C_31PER_5_9C_NEWSTRUCTURE,2,2,10.851867338010951,841.992212520069,841.992212520069,708.9491559647413,975.0352690753966,False,9
power,4_8C_80PER_4_8C,2,2,13.08203536558995,1657.0289290477049,1657.0289290477049,1207.195469332358,2106.8623887630515,False,8
power,4_8C_80PER_4_8C_NEWSTRUCTURE,5,5,11.160462287633361,5039.219419872911,5240.858453014482,2671.6617926053977,7750.741785460713,True,1
power,5C_67PER_4C_NEWSTRUCTURE,6,6,10.158737727484366,3663.1373002926366,3956.2066427755485,3345.277424664734,5063.474616213515,True,3
power,5_3C_54PER_4C_NEWSTRUCTURE,7,7,10.157513242825358,3601.271947474486,4087.812865948006,2989.508833458709,6086.138307740957,True,4
power,5_6C_19PER_4_6C_NEWSTRUCTURE,7,7,10.249731197117585,3396.7826263656348,3278.0999625240415,2775.653669542638,3735.9611886268376,False,5
power,5_6C_36PER_4_3C_NEWSTRUCTURE,7,7,10.214658808573457,3214.3292919870264,3746.058085733097,2862.64112811153,5638.628835627478,False,6
power,80PER_3_6C,2,2,14.279889966140349,2055.2735074351535,2055.2735074351535,827.4265678347491,3283.1204470355583,False,7
